# x_m, y_m, w_tr_right_m, w_tr_left_m
4.970871872305284711e+00,4.918132563547379377e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.041582550423939324e+00,4.988843241666034878e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.112293228542593937e+00,5.059553919784689491e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.183003906661249438e+00,5.130264597903344992e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.253714584779904939e+00,5.200975276021999605e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.324425262898558664e+00,5.271685954140654218e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.395135941017213277e+00,5.342396632259309719e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.465846619135868778e+00,5.413107310377964332e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.536557297254523391e+00,5.483817988496618945e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.607267975373178892e+00,5.554528666615273558e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.677978653491832617e+00,5.625239344733928171e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.748689331610487230e+00,5.695950022852583672e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.819400009729143619e+00,5.766660700971238285e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.890110687847798232e+00,5.837371379089892898e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.960821365966452845e+00,5.908082057208548399e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.031532044085107458e+00,5.978792735327202124e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.102242722203761183e+00,6.049503413445856737e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.172953400322415796e+00,6.120214091564511349e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.243664078441070409e+00,6.190924769683165074e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.314374756559725022e+00,6.261635447801820575e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.385085434678379634e+00,6.332346125920475188e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.455796112797035136e+00,6.403056804039130689e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.526506790915690637e+00,6.473767482157786191e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.597217469034345250e+00,6.544478160276440804e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.667928147152999863e+00,6.615188838395095416e+00,4.000000000000000000e+00,4.000000000000000000e+00
