# x_m, y_m, w_tr_right_m, w_tr_left_m
4.093955200695292618e+00,1.675627092787539685e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.193351295628176878e+00,1.785361459365508718e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.292708480543776517e+00,1.898564730359372510e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.392025544804917025e+00,2.015235526421661483e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.491301278263285290e+00,2.135372425954096820e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.590534471274172468e+00,2.258973965124937144e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.689723914711205310e+00,2.386038637886983560e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.788868399981094370e+00,2.516564895995636042e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.887966719038347563e+00,2.650551149028063103e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.987017664399991723e+00,2.787995764402403931e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.086020029160295053e+00,2.928897067397692178e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.184972607005457590e+00,3.073253341174278508e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.283874192228324773e+00,3.221062826794693912e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.382723579743065478e+00,3.372323723245239102e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.481519565099866931e+00,3.527034187457674941e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.580260944499602971e+00,3.685192334331975350e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.678946514808504098e+00,3.846796236759036924e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.777575073572819520e+00,4.011843925644346109e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.876145419033463213e+00,4.180333389931808474e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.974656350140666206e+00,4.352262576628411761e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.073106666568602208e+00,4.527629390829163158e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.171495168730014136e+00,4.706431695742555599e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.269820657790837082e+00,4.888667312716767355e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.368081935684798189e+00,5.074334021266077022e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.466277805128022749e+00,5.263429559097844157e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.564407069633612757e+00,5.455951622140385870e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.662468533526235248e+00,5.651897864570656349e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.760461001956687532e+00,5.851265898843137636e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.858383280916449998e+00,6.054053295718810901e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.956234177252246909e+00,6.260257584294672828e-01,4.000000000000000000e+00,4.000000000000000000e+00
7.054012498680576115e+00,6.469876252034014730e-01,4.000000000000000000e+00,4.000000000000000000e+00
7.151717053802236101e+00,6.682906744796948129e-01,4.000000000000000000e+00,4.000000000000000000e+00
