# x_m, y_m, w_tr_right_m, w_tr_left_m
4.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.100000000000000533e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.299999999999999822e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.400000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.500000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.600000000000000533e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.700000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.800000000000000711e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.900000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.100000000000000533e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.300000000000000711e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.400000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.500000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.600000000000000533e+00,-5.674903549061540884e-64,4.000000000000000000e+00,4.000000000000000000e+00
5.700000000000000178e+00,1.520585823095564411e-64,4.000000000000000000e+00,4.000000000000000000e+00
5.800000000000000711e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.900000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.100000000000000533e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.300000000000000711e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.400000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.600000000000000533e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.700000000000000178e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.800000000000000711e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.900000000000000355e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
7.100000000000000533e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
