# x_m, y_m, w_tr_right_m, w_tr_left_m
3.806512211068828755e+00,-9.119089113531074764e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.886793262415282335e+00,-9.715323361234554644e-01,4.000000000000000000e+00,4.000000000000000000e+00
3.965808024541747745e+00,-1.032823994224171038e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.043521837695206678e+00,-1.095757000125577640e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.119900612782710247e+00,-1.160303748322290884e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.194910846324534148e+00,-1.226435925442342922e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.268519635150457070e+00,-1.294124522666823873e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.340694690832688885e+00,-1.363339848454569125e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.411404353849175841e+00,-1.434051541566332189e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.480617607471011787e+00,-1.506228584382705460e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.548304091367898927e+00,-1.579839316509979996e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.614434114925686892e+00,-1.654851448667943092e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.678978670270121043e+00,-1.731232076853539414e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.741909444991128098e+00,-1.808947696774190650e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.803198834562028452e+00,-1.887964218544409656e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.862819954448232451e+00,-1.968246981639309556e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.920746651900123503e+00,-2.049760770098406848e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.976953517424925089e+00,-2.132469827973066501e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.031415895932571658e+00,-2.216337875010822689e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.084109897550617596e+00,-2.301328122569670676e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.135012408103530213e+00,-2.387403289755379188e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.184101099251686051e+00,-2.474525619774715857e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.231354438285680253e+00,-2.562656896497427894e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.276751697571636868e+00,-2.651758461219719809e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.320272963643356334e+00,-2.741791229621850068e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.361899145937347733e+00,-2.832715708912437513e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.401611985166880459e+00,-2.924492015151937352e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.439394061331405794e+00,-3.017079890747692339e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.475228801357827635e+00,-3.110438722112892851e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.509100486370260619e+00,-3.204527557481683608e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.540994258585103971e+00,-3.299305124872625949e+00,4.000000000000000000e+00,4.000000000000000000e+00
5.570896127828393496e+00,-3.394729850192610421e+00,4.000000000000000000e+00,4.000000000000000000e+00
