# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2;w_tr_right_m;w_tr_left_m
16;0.999725840815055;-9.54929824314928;-3.1355465083685;0.210164110481029;4;0;2;2
16.1;0.89973138444043;-9.55034908760897;-3.12226848026609;0.209244066018494;4;0;2;2
16.2;0.799780910802168;-9.55349652504936;-3.09927104124595;0.209492224502908;4;0;2;2
16.3;0.699918263083961;-9.55873579794798;-3.07887688831404;0.209425293020211;4;0;2;2
16.4;0.600187245944749;-9.56606551891868;-3.05778579197687;0.209443344508654;4;0;2;2
16.5;0.500631606303841;-9.57548222713193;-3.03688120387591;0.209438476211405;4;0;2;2
16.6;0.401295014151356;-9.58698185820928;-3.01592672740852;0.209439789084943;4;0;2;2
16.7;0.302221043392449;-9.60055934998094;-2.99498558957555;0.209439435046295;4;0;2;2
16.8;0.203453152733622;-9.6162087515109;-2.97404088698978;0.209439530514917;4;0;2;2
16.9;0.105034666619638;-9.63392319690416;-2.95309713666021;0.209439504772278;4;0;2;2
17;0.00700875622927375;-9.65369491608588;-2.93215313206776;0.209439511713375;4;0;2;2
17.1;-0.0905815794616862;-9.67551523611506;-2.91120919533561;0.209439509841892;4;0;2;2
17.2;-0.187693532541887;-9.69937458555378;-2.89026524050047;0.209439510346468;4;0;2;2
17.3;-0.284284504942079;-9.72526249851341;-2.8693212904924;0.209439510210433;4;0;2;2
17.4;-0.380312127120702;-9.75316761928649;-2.84837733919783;0.209439510247107;4;0;2;2
17.5;-0.475734276649255;-9.78307770731686;-2.82743338824597;0.20943951023722;4;0;2;2
17.6;-0.57050909668927;-9.81497964257194;-2.80648943720285;0.209439510239885;4;0;2;2
17.7;-0.664595014352751;-9.84885943129702;-2.78554548618401;0.209439510239167;4;0;2;2
17.8;-0.757950758938113;-9.88470221215382;-2.76460153515874;0.209439510239361;4;0;2;2
17.9;-0.850535380033515;-9.92249226273935;-2.74365758413516;0.209439510239308;4;0;2;2
18;-0.942308265479723;-9.96221300648254;-2.72271363311112;0.209439510239322;4;0;2;2
18.1;-1.03322915918462;-10.0038470199155;-2.70176968208723;0.209439510239319;4;0;2;2
18.2;-1.12325817878146;-10.0473760403165;-2.6808257310633;0.20943951023932;4;0;2;2
18.3;-1.21235583312329;-10.0927809737205;-2.65988178003935;0.209439510239319;4;0;2;2
18.4;-1.30048303960564;-10.140041903295;-2.63893782901542;0.20943951023932;4;0;2;2
18.5;-1.38760114131012;-10.1891380980767;-2.61799387799151;0.20943951023932;4;0;2;2
18.6;-1.47367192396124;-10.2400480220647;-2.59704992696755;0.20943951023932;4;0;2;2
18.7;-1.55865763268902;-10.2927493436674;-2.57610597594363;0.20943951023932;4;0;2;2
18.8;-1.64252098859019;-10.3472189454984;-2.5551620249197;0.20943951023932;4;0;2;2
18.9;-1.72522520508051;-10.4034329345168;-2.53421807389577;0.20943951023932;4;0;2;2
19;-1.80673400403118;-10.4613666525077;-2.51327412287184;0.20943951023932;4;0;2;2
19.1;-1.88701163168222;-10.5209946868989;-2.4923301718479;0.20943951023932;4;0;2;2
19.2;-1.96602287432579;-10.5822908819077;-2.47138622082397;0.20943951023932;4;0;2;2
19.3;-2.04373307375269;-10.6452283500143;-2.45044226980004;0.20943951023932;4;0;2;2
19.4;-2.12010814245514;-10.709779483756;-2.42949831877611;0.20943951023932;4;0;2;2
19.5;-2.1951145785792;-10.775915967837;-2.40855436775217;0.20943951023932;4;0;2;2
19.6;-2.26871948062039;-10.8436087915493;-2.38761041672824;0.20943951023932;4;0;2;2
19.7;-2.34089056185587;-10.9128282614977;-2.36666646570432;0.20943951023932;4;0;2;2
19.8;-2.41159616450694;-10.9835440146251;-2.34572251468037;0.20943951023932;4;0;2;2
19.9;-2.4808052736258;-11.0557250315313;-2.32477856365644;0.20943951023932;4;0;2;2
20;-2.54848753070013;-11.1293396500793;-2.30383461263252;0.20943951023932;4;0;2;2
20.1;-2.61461324696986;-11.204355579284;-2.28289066160859;0.20943951023932;4;0;2;2
20.2;-2.67915341645013;-11.2807399134769;-2.26194671058466;0.20943951023932;4;0;2;2
20.3;-2.74207972865472;-11.3584591467398;-2.24100275956071;0.20943951023932;4;0;2;2
20.4;-2.80336458101443;-11.4374791876021;-2.22005880853679;0.20943951023932;4;0;2;2
20.5;-2.86298109098491;-11.5177653739953;-2.19911485751286;0.20943951023932;4;0;2;2
20.6;-2.92090310783869;-11.5992824884574;-2.17817090648892;0.20943951023932;4;0;2;2
20.7;-2.97710522413612;-11.6819947735808;-2.157226955465;0.20943951023932;4;0;2;2
20.8;-3.03156278687039;-11.7658659476973;-2.13628300444106;0.20943951023932;4;0;2;2
20.9;-3.08425190828148;-11.8508592207932;-2.11533905341713;0.20943951023932;4;0;2;2
21;-3.13514947633457;-11.9369373106472;-2.09439510239319;0.209439510239319;4;0;2;2
21.1;-3.18423316485804;-12.0240624591841;-2.07345115136926;0.20943951023932;4;0;2;2
21.2;-3.23148144333689;-12.1121964490371;-2.05250720034533;0.209439510239319;4;0;2;2
21.3;-3.27687358635705;-12.2013006203125;-2.0315632493214;0.20943951023932;4;0;2;2
21.4;-3.32038968269658;-12.2913358875471;-2.01061929829746;0.209439510239316;4;0;2;2
21.5;-3.36201064405967;-12.3822627568534;-1.98967534727356;0.209439510239333;4;0;2;2
21.6;-3.40171821344975;-12.4740413432435;-1.96873139624953;0.209439510239268;4;0;2;2
21.7;-3.43949497317789;-12.5666313881246;-1.94778744522595;0.209439510239511;4;0;2;2
21.8;-3.47532435250303;-12.6599922769583;-1.92684349420067;0.209439510238602;4;0;2;2
21.9;-3.50919063490076;-12.7540830570761;-1.90589954318184;0.20943951024201;4;0;2;2
22;-3.54107896495733;-12.8488624556437;-1.88495559213873;0.20943951022923;4;0;2;2
22.1;-3.570975354886;-12.9442888977647;-1.86401164118686;0.209439510277156;4;0;2;2
22.2;-3.59886669066256;-13.0403205247177;-1.84306768989228;0.209439510097438;4;0;2;2
22.3;-3.62474073777877;-13.1369152123174;-1.82212373988422;0.209439510771341;4;0;2;2
22.4;-3.64858614660509;-13.2340305893926;-1.80117978504909;0.209439508244404;4;0;2;2
22.5;-3.67039245738406;-13.3316240563722;-1.78023584831691;0.209439517719469;4;0;2;2
22.6;-3.69015010476267;-13.4296528039713;-1.75929184372449;0.209439482192308;4;0;2;2
22.7;-3.70785042219737;-13.5280738319695;-1.73834809339491;0.209439615400052;4;0;2;2
22.8;-3.72348564497127;-13.626843968073;-1.71740339080914;0.209439115953286;4;0;2;2
22.9;-3.73704891654114;-13.7259198868523;-1.69646225297617;0.209440988530701;4;0;2;2
23;-3.74853428051825;-13.8252581287461;-1.67550777650876;0.209433967816683;4;0;2;2
23.1;-3.75793672462287;-13.9248151191258;-1.65460318840782;0.209460289508086;4;0;2;2
23.2;-3.76525202788724;-14.0245471874087;-1.63351209207066;0.209361607632993;4;0;2;2
23.3;-3.77047734359463;-14.1244105862144;-1.61311793913875;0.209731565411434;4;0;2;2
23.4;-3.77360902204141;-14.2243615105546;-1.59012050011857;0.208344595043807;4;0;2;2
23.5;-3.7746507792273;-14.3243561170477;-1.5768424720162;-0.210523825200025;4;0;2;2
23.6;-3.77570345608476;-14.4243505431514;-1.59012050011858;-0.209147686898851;4;0;2;2
23.7;-3.77885404131921;-14.5243009264021;-1.61311793913875;-0.209518047562651;4;0;2;2
23.8;-3.7840961067141;-14.6241634236558;-1.63351209207067;-0.209418374193652;4;0;2;2
23.9;-3.79142871092098;-14.7238942303197;-1.65460318840782;-0.209445198284362;4;0;2;2
24;-3.80084827200958;-14.8234495995667;-1.67550777650876;-0.209437979525394;4;0;2;2
24.1;-3.81235075645794;-14.9227858615252;-1.69646225297616;-0.209439922163066;4;0;2;2
24.2;-3.82593109224192;-15.0218594424351;-1.71740339080915;-0.209439399390394;4;0;2;2
24.3;-3.84158332948291;-15.1206268837607;-1.73834809339491;-0.209439540068277;4;0;2;2
24.4;-3.85930060042449;-15.2190448612545;-1.75929184372449;-0.209439502212626;4;0;2;2
24.5;-3.87907513391784;-15.3170702039607;-1.78023584831691;-0.209439512399188;4;0;2;2
24.6;-3.90089825574314;-15.4146599131526;-1.80117978504908;-0.20943950965814;4;0;2;2
24.7;-3.92476039324535;-15.5117711811936;-1.82212373988422;-0.209439510395701;4;0;2;2
24.8;-3.95065107930965;-15.6083614103151;-1.84306768989228;-0.209439510197242;4;0;2;2
24.9;-3.97855895701304;-15.7043882313014;-1.86401164118686;-0.209439510250641;4;0;2;2
25;-4.0084717845898;-15.7998095220755;-1.88495559213873;-0.209439510236273;4;0;2;2
25.1;-4.0403764408057;-15.8945834261756;-1.90589954318183;-0.209439510240139;4;0;2;2
25.2;-4.07425893071247;-15.9886683711155;-1.92684349420067;-0.209439510239099;4;0;2;2
25.3;-4.11010439178698;-16.0820230866204;-1.94778744522595;-0.209439510239379;4;0;2;2
25.4;-4.14789710045054;-16.1746066227297;-1.96873139624953;-0.209439510239304;4;0;2;2
25.5;-4.18762047896614;-16.2663783677602;-1.98967534727356;-0.209439510239324;4;0;2;2
25.6;-4.22925710271017;-16.3572980661199;-2.01061929829746;-0.209439510239318;4;0;2;2
25.7;-4.27278870781578;-16.4473258359666;-2.03156324932141;-0.20943951023932;4;0;2;2
25.8;-4.31819619918426;-16.5364221867014;-2.05250720034533;-0.209439510239319;4;0;2;2
25.9;-4.36545965886111;-16.6245480362917;-2.07345115136927;-0.20943951023932;4;0;2;2
26;-4.41455835477306;-16.7116647284142;-2.09439510239318;-0.20943951023932;4;0;2;2
26.1;-4.46547074982212;-16.7977340494119;-2.11533905341713;-0.20943951023932;4;0;2;2
26.2;-4.51817451133284;-16.8827182450559;-2.13628300444107;-0.20943951023932;4;0;2;2
26.3;-4.57264652084851;-16.9665800371066;-2.15722695546498;-0.20943951023932;4;0;2;2
26.4;-4.62886288427206;-17.0492826396658;-2.17817090648893;-0.20943951023932;4;0;2;2
26.5;-4.68679894234719;-17.1307897753127;-2.19911485751285;-0.20943951023932;4;0;2;2
26.6;-4.74642928147507;-17.2110656910167;-2.22005880853679;-0.20943951023932;4;0;2;2
26.7;-4.8077277448621;-17.2900751738211;-2.24100275956073;-0.20943951023932;4;0;2;2
26.8;-4.87066744399345;-17.3677835662887;-2.26194671058464;-0.20943951023932;4;0;2;2
26.9;-4.93522077042776;-17.4441567817042;-2.28289066160858;-0.20943951023932;4;0;2;2
27;-5.00135940790752;-17.5191613190266;-2.30383461263252;-0.20943951023932;4;0;2;2
27.1;-5.06905434478;-17.5927642775844;-2.32477856365644;-0.20943951023932;4;0;2;2
27.2;-5.13827588672316;-17.6649333715073;-2.34572251468038;-0.20943951023932;4;0;2;2
27.3;-5.20899366977102;-17.7356369438882;-2.36666646570432;-0.20943951023932;4;0;2;2
27.4;-5.28117667363285;-17.80484398067;-2.38761041672823;-0.20943951023932;4;0;2;2
27.5;-5.35479323530011;-17.8725241242494;-2.40855436775219;-0.20943951023932;4;0;2;2
27.6;-5.42981106293549;-17.9386476867933;-2.4294983187761;-0.20943951023932;4;0;2;2
27.7;-5.50619725003761;-18.0031856632617;-2.45044226980004;-0.20943951023932;4;0;2;2
27.8;-5.58391828987547;-18.0661097441303;-2.47138622082397;-0.20943951023932;4;0;2;2
27.9;-5.66294009018614;-18.1273923278086;-2.49233017184788;-0.20943951023932;4;0;2;2
28;-5.74322798812932;-18.1870065327476;-2.51327412287186;-0.20943951023932;4;0;2;2
28.1;-5.82474676549213;-18.2449262092307;-2.53421807389577;-0.20943951023932;4;0;2;2
28.2;-5.90746066413754;-18.3011259508449;-2.55516202491968;-0.20943951023932;4;0;2;2
28.3;-5.9913334016897;-18.3555811056252;-2.57610597594365;-0.20943951023932;4;0;2;2
28.4;-6.07632818744911;-18.4082677868676;-2.59704992696756;-0.20943951023932;4;0;2;2
28.5;-6.16240773853085;-18.4591628836079;-2.61799387799148;-0.20943951023932;4;0;2;2
28.6;-6.24953429621872;-18.5082440707583;-2.63893782901544;-0.20943951023932;4;0;2;2
28.7;-6.33766964252799;-18.5554898189012;-2.65988178003938;-0.20943951023932;4;0;2;2
28.8;-6.42677511696973;-18.6008794037323;-2.68082573106327;-0.20943951023932;4;0;2;2
28.9;-6.51681163350924;-18.6443929151519;-2.70176968208721;-0.20943951023932;4;0;2;2
29;-6.60773969771098;-18.6860112659981;-2.72271363311117;-0.20943951023932;4;0;2;2
29.1;-6.69951942406292;-18.7257162004194;-2.7436575841351;-0.20943951023932;4;0;2;2
29.2;-6.79211055347216;-18.7634903018826;-2.76460153515901;-0.20943951023932;4;0;2;2
29.3;-6.88547247092461;-18.7993170008128;-2.78554548618294;-0.20943951023932;4;0;2;2
