# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
1131.5; 85.214; 12.97; 0.03372; 0.07585; -0.03167; -0.05857
1134.6; 85.455; 12.85; 0.00572; 0.34192; -0.07094; -0.00273
1137.7; 85.696; 12.89; -0.01816; 0.37703; -0.02243; 0.04453
1140.8; 85.936; 12.89; -0.03842; 0.35856; 0.05572; 0.06081
1143.9; 86.176; 12.89; -0.05313; 0.33186; 0.09236; 0.05533
1147.0; 86.416; 12.89; -0.06298; 0.31490; 0.06724; 0.04757
1150.1; 86.656; 12.89; -0.06896; 0.28747; 0.00553; 0.04805
1153.2; 86.897; 12.90; -0.06613; 0.19998; -0.05199; 0.05377
1156.3; 87.135; 13.19; -0.03491; -0.09126; -0.06321; 0.04013
1159.4; 87.370; 13.11; -0.00570; -0.28050; -0.06124; -0.00089
1162.5; 87.609; 12.88; 0.01471; -0.34250; -0.09362; -0.02644
1165.6; 87.850; 12.70; 0.03272; -0.34278; -0.10286; -0.02577
1168.7; 88.095; 12.57; 0.04645; -0.32987; -0.03844; -0.01469
1171.8; 88.342; 12.57; 0.05456; -0.31069; 0.07962; -0.01532
1174.9; 88.589; 12.57; 0.05903; -0.29645; 0.18219; -0.03717
1178.0; 88.836; 12.57; 0.05924; -0.25858; 0.19523; -0.07668
1181.1; 89.082; 12.73; 0.04042; -0.02864; 0.07271; -0.10296
1184.2; 89.328; 12.50; 0.01206; 0.31019; -0.11584; -0.06371
1187.3; 89.576; 12.53; -0.01209; 0.39235; -0.21728; 0.00027
1190.4; 89.824; 12.53; -0.03483; 0.37482; -0.20977; 0.05225
1193.5; 90.072; 12.53; -0.05131; 0.34283; -0.13353; 0.08267
1196.6; 90.320; 12.53; -0.06200; 0.32487; -0.03589; 0.09232
1199.7; 90.567; 12.54; -0.06864; 0.29805; 0.03745; 0.08545
1202.8; 90.814; 12.54; -0.06636; 0.20983; 0.06415; 0.07013
1205.9; 91.058; 12.86; -0.03423; -0.09272; 0.07045; 0.03597
1209.0; 91.297; 13.11; -0.00569; -0.27294; 0.03972; -0.01702
1212.1; 91.535; 12.88; 0.01438; -0.34826; -0.05173; -0.04741
1215.2; 91.777; 12.70; 0.03361; -0.35317; -0.13267; -0.05203
1218.3; 92.020; 12.71; 0.04677; -0.32614; -0.15165; -0.04233
1221.4; 92.263; 12.70; 0.05477; -0.30916; -0.10572; -0.03202
1224.5; 92.507; 12.70; 0.05942; -0.29398; -0.02089; -0.03068
1227.6; 92.751; 12.70; 0.05967; -0.25544; 0.05435; -0.04474
1230.7; 92.994; 12.85; 0.04166; -0.03701; 0.05791; -0.05820
1233.8; 93.238; 12.54; 0.01309; 0.29396; 0.00401; -0.02735
1236.9; 93.488; 12.33; -0.01219; 0.39793; -0.01109; 0.01738
1240.0; 93.739; 12.34; -0.03414; 0.36377; 0.01288; 0.04537
1243.1; 93.990; 12.35; -0.04699; 0.32086; 0.03775; 0.05234
1246.2; 94.241; 12.35; -0.05239; 0.30326; 0.03670; 0.04636
1249.3; 94.492; 12.34; -0.05527; 0.30524; 0.00411; 0.04252
1252.4; 94.743; 12.35; -0.05499; 0.24654; -0.02708; 0.05362
1255.5; 94.990; 12.74; -0.02752; -0.11145; -0.00299; 0.04585
1258.6; 95.231; 12.97; -0.00377; -0.27826; 0.04312; 0.01380
1261.7; 95.469; 13.05; 0.01323; -0.34425; 0.06152; -0.01129
1264.8; 95.707; 13.09; 0.02841; -0.30899; 0.06712; -0.03022
1267.9; 95.943; 13.22; 0.02864; -0.15400; 0.05627; -0.03729
1271.0; 96.174; 13.60; 0.01214; 0.01519; 0.02550; -0.02081
1274.1; 96.399; 14.02; 0.00212; 0.01709; 0.01107; -0.00140
1277.2; 96.617; 14.43; -0.00005; 0.00086; 0.02594; 0.00850
1280.3; 96.828; 14.83; -0.00004; -0.00072; 0.05914; 0.01233
1283.4; 97.035; 15.19; 0.00016; -0.05682; 0.08922; 0.00679
1286.5; 97.237; 15.46; 0.00299; -0.13642; 0.09121; -0.00802
1289.6; 97.437; 15.64; 0.00902; -0.20681; 0.05634; -0.02525
1292.7; 97.634; 15.75; 0.01762; -0.24776; -0.00186; -0.03770
1295.8; 97.831; 15.81; 0.02699; -0.26170; -0.05798; -0.04263
1298.9; 98.026; 15.84; 0.03544; -0.26050; -0.09294; -0.04302
1302.0; 98.222; 15.86; 0.04215; -0.25337; -0.10480; -0.04339
1305.1; 98.417; 15.86; 0.04698; -0.24505; -0.10288; -0.04549
1308.2; 98.612; 15.87; 0.05015; -0.23813; -0.09747; -0.04874
1311.3; 98.807; 15.86; 0.05216; -0.23498; -0.09475; -0.05199
1314.4; 99.002; 15.86; 0.05362; -0.23379; -0.09568; -0.05436
1317.5; 99.197; 15.86; 0.05473; -0.23100; -0.09799; -0.05545
1320.6; 99.393; 15.85; 0.05532; -0.22818; -0.09935; -0.05549
1323.7; 99.588; 15.85; 0.05542; -0.22606; -0.09899; -0.05508
1326.8; 99.783; 15.84; 0.05519; -0.22471; -0.09750; -0.05461
1329.9; 99.979; 15.84; 0.05476; -0.22399; -0.09577; -0.05422
1333.0; 100.174; 15.84; 0.05423; -0.22372; -0.09445; -0.05390
1336.1; 100.370; 15.84; 0.05370; -0.22377; -0.09387; -0.05362
1339.2; 100.565; 15.83; 0.05320; -0.22401; -0.09408; -0.05335
1342.3; 100.761; 15.83; 0.05276; -0.22438; -0.09486; -0.05307
1345.4; 100.956; 15.83; 0.05241; -0.22482; -0.09603; -0.05284
1348.5; 101.152; 15.83; 0.05216; -0.22530; -0.09758; -0.05272
1351.6; 101.347; 15.83; 0.05200; -0.22578; -0.09958; -0.05271
1354.7; 101.543; 15.83; 0.05193; -0.22624; -0.10195; -0.05272
1357.8; 101.738; 15.83; 0.05194; -0.22665; -0.10433; -0.05265
1360.9; 101.934; 15.83; 0.05201; -0.22700; -0.10612; -0.05241
1364.0; 102.129; 15.83; 0.05213; -0.22724; -0.10653; -0.05197
1367.1; 102.325; 15.83; 0.05228; -0.22733; -0.10495; -0.05145
1370.2; 102.520; 15.83; 0.05243; -0.22725; -0.10152; -0.05111
1373.3; 102.716; 15.83; 0.05255; -0.22696; -0.09709; -0.05108
1376.4; 102.911; 15.83; 0.05260; -0.22652; -0.09273; -0.05130
1379.5; 103.107; 15.83; 0.05258; -0.22614; -0.08930; -0.05168
1382.6; 103.302; 15.83; 0.05251; -0.22622; -0.08738; -0.05217
1385.7; 103.498; 15.83; 0.05246; -0.22642; -0.08725; -0.05271
1388.8; 103.694; 15.83; 0.05243; -0.22610; -0.08881; -0.05317
1391.9; 103.889; 15.83; 0.05234; -0.22572; -0.09178; -0.05349
1395.0; 104.085; 15.83; 0.05220; -0.22558; -0.09590; -0.05368
1398.1; 104.280; 15.83; 0.05205; -0.22566; -0.10084; -0.05373
1401.2; 104.476; 15.83; 0.05193; -0.22579; -0.10611; -0.05361
1404.3; 104.672; 15.83; 0.05185; -0.22601; -0.11097; -0.05326
1407.4; 104.867; 15.83; 0.05180; -0.22631; -0.11452; -0.05262
1410.5; 105.063; 15.83; 0.05182; -0.22665; -0.11567; -0.05170
1413.6; 105.258; 15.83; 0.05189; -0.22698; -0.11362; -0.05069
1416.7; 105.454; 15.83; 0.05201; -0.22724; -0.10847; -0.04995
1419.8; 105.649; 15.83; 0.05216; -0.22737; -0.10135; -0.04971
1422.9; 105.845; 15.83; 0.05231; -0.22733; -0.09381; -0.04997
1426.0; 106.040; 15.83; 0.05244; -0.22708; -0.08721; -0.05059
1429.1; 106.236; 15.83; 0.05252; -0.22668; -0.08260; -0.05144
1432.2; 106.432; 15.83; 0.05252; -0.22637; -0.08072; -0.05240
1435.3; 106.627; 15.83; 0.05250; -0.22662; -0.08199; -0.05343
1438.4; 106.823; 15.83; 0.05252; -0.22703; -0.08645; -0.05446
1441.5; 107.018; 15.83; 0.05259; -0.22684; -0.09375; -0.05533
1444.6; 107.214; 15.82; 0.05260; -0.22647; -0.10313; -0.05587
1447.7; 107.410; 15.82; 0.05256; -0.22609; -0.11356; -0.05595
1450.8; 107.605; 15.82; 0.05245; -0.22567; -0.12365; -0.05547
1453.9; 107.801; 15.82; 0.05226; -0.22505; -0.13167; -0.05430
1457.0; 107.996; 15.82; 0.05197; -0.22409; -0.13564; -0.05237
1460.1; 108.192; 15.83; 0.05151; -0.22277; -0.13373; -0.04981
1463.2; 108.387; 15.83; 0.05087; -0.22148; -0.12530; -0.04714
1466.3; 108.583; 15.83; 0.05011; -0.22120; -0.11140; -0.04492
1469.4; 108.778; 15.84; 0.04939; -0.22155; -0.09404; -0.04342
1472.5; 108.974; 15.85; 0.04877; -0.22116; -0.07516; -0.04259
1475.6; 109.169; 15.85; 0.04814; -0.22073; -0.05650; -0.04230
1478.7; 109.364; 15.86; 0.04755; -0.22127; -0.03966; -0.04254
1481.8; 109.560; 15.87; 0.04718; -0.22314; -0.02609; -0.04345
1484.9; 109.755; 15.88; 0.04722; -0.22612; -0.01701; -0.04513
1488.0; 109.950; 15.89; 0.04777; -0.22947; -0.01343; -0.04762
1491.1; 110.145; 15.89; 0.04881; -0.23186; -0.01604; -0.05075
1494.2; 110.340; 15.90; 0.05003; -0.23106; -0.02509; -0.05403
1497.3; 110.535; 15.90; 0.05072; -0.22296; -0.03996; -0.05639
1500.4; 110.730; 15.91; 0.04933; -0.19878; -0.05849; -0.05554
1503.5; 110.924; 15.97; 0.04269; -0.13961; -0.07534; -0.04685
1506.6; 111.120; 15.69; 0.03285; -0.08092; -0.07703; -0.02944
