# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
272.8; 21.281; -0.02398; 530.6; -0.0; 1612.1
275.9; 21.520; -0.03743; 1643.4; -0.0; 767.7
279.0; 21.756; -0.04868; 0.4; -1070.9; -1098.0
282.1; 21.994; -0.04484; 25.7; -778.8; -1666.2
285.2; 22.235; -0.02822; 38.6; -518.1; -1766.6
288.3; 22.481; -0.01290; 490.2; -0.0; -1777.1
291.4; 22.728; -0.00416; 491.1; -0.0; -1763.5
294.5; 22.975; -0.00010; 495.4; -0.0; -1772.0
297.6; 23.222; 0.01003; 511.5; -0.0; -1682.7
300.7; 23.470; 0.03591; 1805.7; -0.0; -665.4
303.8; 23.715; 0.05754; 1010.0; -0.1; 1378.8
306.9; 23.955; 0.04875; 663.8; -0.0; 1807.6
310.0; 24.194; 0.02579; 494.9; -0.0; 1830.8
313.1; 24.433; 0.00701; 484.8; -0.0; 1797.5
316.2; 24.671; -0.00424; 501.4; -0.0; 1778.6
319.3; 24.909; -0.01275; 519.3; -0.0; 1749.4
322.4; 25.147; -0.02261; 527.3; -0.0; 1634.1
325.5; 25.386; -0.03580; 1363.2; -0.0; 944.6
328.6; 25.623; -0.04790; 0.5; -1203.6; -958.3
331.7; 25.861; -0.04678; 24.1; -830.8; -1638.8
334.8; 26.104; -0.03112; 38.0; -526.3; -1768.1
337.9; 26.351; -0.01515; 489.5; -0.1; -1782.4
341.0; 26.600; -0.00535; 490.4; -0.0; -1765.6
344.1; 26.848; -0.00059; 495.6; -0.0; -1769.8
347.2; 27.097; 0.00871; 509.6; -0.0; -1693.9
350.3; 27.345; 0.03265; 1548.0; -0.0; -845.4
353.4; 27.592; 0.05726; 1147.1; -0.1; 1303.8
356.5; 27.835; 0.05139; 678.4; -0.0; 1806.9
359.6; 28.076; 0.02784; 492.5; -0.0; 1837.7
362.7; 28.316; 0.00787; 484.0; -0.0; 1802.6
365.8; 28.556; -0.00432; 504.7; -0.0; 1781.1
368.9; 28.796; -0.01381; 525.2; -0.0; 1745.7
372.0; 29.035; -0.02359; 529.9; -0.0; 1631.2
375.1; 29.275; -0.03546; 1288.6; -0.0; 988.9
378.2; 29.514; -0.04799; 0.5; -566.2; -945.0
381.3; 29.753; -0.04737; 24.1; -830.9; -1642.7
384.4; 29.995; -0.03095; 38.0; -526.0; -1768.4
387.5; 30.242; -0.01452; 491.8; -0.0; -1776.8
390.6; 30.490; -0.00529; 491.5; -0.0; -1759.9
393.7; 30.738; -0.00178; 492.8; -0.0; -1772.8
396.8; 30.986; 0.00729; 507.2; -0.0; -1702.3
399.9; 31.234; 0.03203; 1512.4; -0.0; -870.1
403.0; 31.480; 0.05451; 1578.6; -0.0; 1233.3
406.1; 31.722; 0.05150; 720.3; -0.0; 1789.0
409.2; 31.961; 0.02916; 502.6; -0.0; 1837.2
412.3; 32.199; 0.00905; 482.7; -0.0; 1805.3
415.4; 32.437; -0.00356; 500.5; -0.0; 1783.0
418.5; 32.674; -0.01317; 520.4; -0.0; 1748.1
421.6; 32.912; -0.02266; 527.2; -0.0; 1641.0
424.7; 33.150; -0.03399; 1154.7; -0.0; 1075.6
427.8; 33.386; -0.04636; 0.6; -197.7; -836.5
430.9; 33.623; -0.04722; 22.6; -885.2; -1614.4
434.0; 33.863; -0.03174; 37.0; -540.2; -1766.3
437.1; 34.106; -0.01510; 494.2; -0.1; -1780.2
440.2; 34.351; -0.00516; 491.8; -0.0; -1761.4
443.3; 34.596; -0.00129; 491.9; -0.0; -1773.1
446.4; 34.841; 0.00706; 505.2; -0.0; -1714.6
449.5; 35.086; 0.02933; 1188.5; -0.0; -1074.1
452.6; 35.330; 0.05176; 1743.0; -0.2; 1059.1
455.7; 35.570; 0.05043; 0.2; -618.5; 1734.8
458.8; 35.809; 0.02911; 509.5; -0.0; 1823.3
461.9; 36.050; 0.01120; 481.8; -0.0; 1806.3
465.0; 36.290; -0.00119; 497.7; -0.0; 1786.6
468.1; 36.531; -0.01079; 519.2; -0.0; 1757.8
471.2; 36.771; -0.02055; 527.1; -0.0; 1668.6
474.3; 37.012; -0.03274; 896.8; -0.0; 1225.7
477.4; 37.252; -0.04739; 0.6; -1491.7; -628.6
480.5; 37.494; -0.05193; 21.8; -916.0; -1592.7
483.6; 37.743; -0.03753; 37.8; -529.7; -1777.2
486.7; 37.996; -0.01952; 484.8; -0.2; -1793.2
489.8; 38.251; -0.00724; 490.6; -0.0; -1764.0
492.9; 38.506; -0.00060; 498.5; -0.0; -1742.5
496.0; 38.761; 0.00422; 506.6; -0.0; -1693.8
499.1; 39.016; 0.02123; 1213.6; -0.0; -1103.0
502.2; 39.269; 0.05638; 1637.0; -0.0; 1185.4
505.3; 39.518; 0.05574; 703.6; -0.0; 1800.8
508.4; 39.764; 0.02767; 545.6; -0.0; 1775.8
511.5; 40.009; 0.01111; 548.7; -0.0; 1704.7
514.6; 40.253; -0.01902; 1806.8; -0.0; 752.3
517.7; 40.495; -0.01063; 2575.3; -0.0; -72.8
520.8; 40.730; -0.00647; 2474.0; -0.0; -230.0
523.9; 40.957; -0.00781; 2404.4; -0.0; -330.7
527.0; 41.179; -0.01205; 2259.5; -0.0; -516.9
530.1; 41.394; -0.01765; 2013.7; -0.0; -788.6
533.2; 41.606; -0.02267; 1694.4; -0.0; -1087.9
536.3; 41.813; -0.02486; 1378.1; -0.0; -1337.9
539.4; 42.018; -0.02357; 1124.3; -0.0; -1504.8
542.5; 42.221; -0.01986; 946.4; -0.0; -1600.3
545.6; 42.422; -0.01535; 831.5; -0.0; -1649.7
548.7; 42.623; -0.01127; 760.1; -0.0; -1674.9
551.8; 42.822; -0.00815; 715.0; -0.0; -1689.5
554.9; 43.021; -0.00578; 686.6; -0.0; -1697.3
558.0; 43.220; -0.00399; 670.6; -0.0; -1699.8
561.1; 43.419; -0.00290; 661.1; -0.0; -1702.1
564.2; 43.617; -0.00227; 654.4; -0.0; -1704.7
567.3; 43.815; -0.00185; 648.3; -0.0; -1707.7
570.4; 44.012; -0.00146; 641.7; -0.0; -1711.0
573.5; 44.210; -0.00104; 634.5; -0.0; -1714.4
576.6; 44.407; -0.00054; 626.8; -0.0; -1717.7
579.7; 44.604; 0.00003; 619.1; -0.0; -1720.6
582.8; 44.801; 0.00064; 611.7; -0.0; -1723.1
585.9; 44.998; 0.00125; 605.3; -0.0; -1725.0
589.0; 45.195; 0.00183; 599.7; -0.0; -1726.5
592.1; 45.391; 0.00234; 594.9; -0.0; -1727.8
595.2; 45.588; 0.00276; 590.5; -0.0; -1729.4
598.3; 45.784; 0.00316; 586.3; -0.0; -1730.9
601.4; 45.980; 0.00359; 582.9; -0.0; -1731.6
604.5; 46.176; 0.00395; 579.9; -0.0; -1732.3
607.6; 46.372; 0.00426; 577.1; -0.0; -1733.3
610.7; 46.568; 0.00453; 574.4; -0.0; -1734.4
613.8; 46.764; 0.00480; 571.7; -0.0; -1735.3
616.9; 46.960; 0.00509; 569.1; -0.0; -1736.1
620.0; 47.156; 0.00539; 566.9; -0.0; -1736.5
623.1; 47.352; 0.00567; 565.3; -0.0; -1736.5
626.2; 47.548; 0.00591; 564.5; -0.0; -1736.0
629.3; 47.743; 0.00605; 564.2; -0.0; -1735.6
632.4; 47.939; 0.00606; 563.8; -0.0; -1736.3
635.5; 48.135; 0.00607; 563.1; -0.0; -1737.0
638.6; 48.331; 0.00619; 562.8; -0.0; -1736.5
641.7; 48.527; 0.00627; 562.9; -0.0; -1736.0
644.8; 48.722; 0.00627; 563.1; -0.0; -1735.9
647.9; 48.918; 0.00623; 563.2; -0.0; -1736.2
651.0; 49.114; 0.00620; 562.9; -0.0; -1736.7
654.1; 49.309; 0.00619; 562.2; -0.0; -1737.4
657.2; 49.505; 0.00624; 561.1; -0.0; -1738.2
660.3; 49.700; 0.00635; 559.6; -0.0; -1738.9
663.4; 49.896; 0.00651; 558.0; -0.0; -1739.4
666.5; 50.091; 0.00671; 556.6; -0.0; -1739.6
669.6; 50.287; 0.00692; 555.7; -0.0; -1739.4
672.7; 50.483; 0.00710; 555.4; -0.0; -1738.7
675.8; 50.678; 0.00719; 555.7; -0.0; -1738.0
678.9; 50.874; 0.00714; 556.1; -0.0; -1738.0
682.0; 51.070; 0.00704; 556.0; -0.0; -1738.8
685.1; 51.265; 0.00703; 555.9; -0.0; -1738.8
688.2; 51.461; 0.00709; 556.3; -0.0; -1738.0
691.3; 51.656; 0.00709; 557.1; -0.0; -1737.3
694.4; 51.852; 0.00702; 558.1; -0.0; -1736.7
697.5; 52.048; 0.00692; 559.5; -0.0; -1736.0
700.6; 52.243; 0.00680; 561.5; -0.0; -1734.8
703.7; 52.439; 0.00665; 564.3; -0.0; -1733.0
706.8; 52.634; 0.00643; 568.3; -0.0; -1730.8
709.9; 52.830; 0.00604; 572.7; -0.0; -1729.3
713.0; 53.025; 0.00542; 575.2; -0.0; -1731.1
716.1; 53.221; 0.00496; 575.1; -0.0; -1733.7
719.2; 53.416; 0.00492; 574.1; -0.0; -1734.4
722.3; 53.612; 0.00493; 570.9; -0.0; -1737.2
725.4; 53.807; 0.00504; 564.9; -0.0; -1742.0
728.5; 54.003; 0.00542; 556.2; -0.0; -1747.7
731.6; 54.198; 0.00624; 546.4; -0.0; -1752.5
734.7; 54.394; 0.00756; 538.4; -0.0; -1753.1
737.8; 54.589; 0.00935; 537.2; -0.0; -1744.1
740.9; 54.785; 0.01148; 554.2; -0.0; -1712.8
744.0; 54.980; 0.01370; 637.7; -0.1; -1622.9
747.1; 55.176; 0.01563; 10.3; -786.0; -1415.6
750.2; 55.372; 0.01652; 14.6; -1372.7; -1033.1
753.3; 55.572; 0.01435; 9.2; -2164.4; -414.2
756.4; 55.777; 0.00837; 7.9; -2523.8; -0.0
759.5; 55.988; 0.00461; 8.2; -2427.8; 150.9
762.6; 56.206; 0.00300; 8.3; -2403.5; 176.6
765.7; 56.432; -0.00235; 8.0; -2511.7; 0.0
768.8; 56.667; -0.02173; 10.1; -1984.3; -679.8
771.9; 56.911; -0.04655; 19.6; -1022.9; -1509.2
775.0; 57.162; -0.04558; 38.9; -514.5; -1822.0
778.1; 57.419; -0.02064; 481.3; -0.0; -1797.7
781.2; 57.677; 0.03240; 1362.9; -0.5; -497.6
784.3; 57.933; 0.06737; 19.7; -1015.9; 1574.0
787.4; 58.190; 0.05052; 524.3; -0.0; 1853.7
790.5; 58.450; 0.02952; 471.5; -0.0; 1893.3
793.6; 58.709; 0.00055; 555.1; -0.0; 1819.6
796.7; 58.968; -0.02345; 601.0; -0.0; 1705.4
799.8; 59.227; -0.03259; 578.0; -0.0; 1602.4
802.9; 59.486; -0.03766; 914.5; -0.0; 1167.1
806.0; 59.743; -0.04052; 2170.7; -0.0; -642.3
809.1; 59.995; -0.05055; 1114.6; -0.0; -1535.7
812.2; 60.243; -0.04370; 652.7; -0.1; -1784.7
815.3; 60.488; -0.02664; 507.3; -0.1; -1812.2
818.4; 60.732; -0.01111; 486.3; -0.0; -1787.4
821.5; 60.977; -0.00083; 493.6; -0.0; -1761.0
824.6; 61.221; 0.00530; 501.5; -0.0; -1733.7
827.7; 61.465; 0.01768; 620.4; -0.0; -1495.3
830.8; 61.709; 0.04470; 1763.6; -0.4; 355.6
833.9; 61.950; 0.05640; 22.0; -907.3; 1637.6
837.0; 62.191; 0.03746; 550.1; -0.0; 1820.4
840.1; 62.434; 0.01841; 479.1; -0.0; 1823.0
843.2; 62.677; 0.00298; 492.3; -0.0; 1797.2
846.3; 62.919; -0.00818; 518.5; -0.0; 1771.2
849.4; 63.162; -0.01893; 532.6; -0.0; 1698.8
852.5; 63.405; -0.03088; 635.4; -0.0; 1409.2
855.6; 63.647; -0.04329; 2433.9; -0.1; -319.1
858.7; 63.886; -0.04941; 18.7; -1068.9; -1508.0
861.8; 64.123; -0.03662; 34.4; -581.7; -1760.7
864.9; 64.364; -0.01930; 286.3; -67.8; -1803.4
868.0; 64.608; -0.00340; 405.3; -45.9; -1766.3
871.1; 64.852; 0.00551; 502.9; -0.1; -1733.0
874.2; 65.096; 0.00639; 502.4; -0.0; -1737.5
877.3; 65.341; 0.01496; 550.8; -0.0; -1581.7
880.4; 65.586; 0.04199; 1560.3; -0.7; -5.7
883.5; 65.828; 0.05876; 20.1; -996.0; 1584.6
886.6; 66.071; 0.04163; 560.3; -0.0; 1826.6
889.7; 66.316; 0.02064; 478.2; -0.0; 1827.1
892.8; 66.560; 0.00409; 492.0; -0.0; 1798.6
895.9; 66.805; -0.00729; 520.0; -0.0; 1775.2
899.0; 67.049; -0.01811; 537.4; -0.0; 1712.5
902.1; 67.294; -0.03033; 578.0; -0.0; 1470.0
905.2; 67.538; -0.04346; 2523.5; -0.1; -138.4
908.3; 67.779; -0.05080; 17.9; -1113.9; -1478.5
911.4; 68.018; -0.03813; 33.5; -596.3; -1751.8
914.5; 68.261; -0.02046; 297.9; -66.2; -1789.6
917.6; 68.506; -0.00722; 488.7; -0.0; -1773.2
920.7; 68.752; 0.00013; 495.1; -0.0; -1760.6
923.8; 68.998; 0.00487; 502.5; -0.0; -1748.4
926.9; 69.244; 0.01638; 547.8; -0.0; -1575.3
930.0; 69.490; 0.04257; 2546.7; -0.0; 73.3
933.1; 69.732; 0.05773; 20.4; -978.5; 1597.8
936.2; 69.972; 0.03972; 563.2; -0.0; 1821.9
939.3; 70.215; 0.01960; 479.7; -0.0; 1825.7
942.4; 70.456; 0.00350; 491.0; -0.0; 1799.2
945.5; 70.698; -0.00782; 518.0; -0.0; 1775.8
948.6; 70.940; -0.01846; 535.6; -0.0; 1714.7
951.7; 71.182; -0.03024; 570.0; -0.0; 1486.4
954.8; 71.424; -0.04274; 2560.8; -0.0; -34.4
957.9; 71.662; -0.05031; 17.2; -1162.4; -1447.8
961.0; 71.899; -0.03796; 32.3; -618.4; -1740.8
964.1; 72.140; -0.02011; 136.9; -144.4; -1778.9
967.2; 72.383; -0.00697; 489.6; -0.0; -1770.8
970.3; 72.627; 0.00005; 494.3; -0.0; -1760.1
973.4; 72.872; 0.00414; 500.3; -0.0; -1755.8
976.5; 73.116; 0.01528; 533.3; -0.0; -1606.7
979.6; 73.361; 0.04201; 2501.3; -0.0; -75.3
982.7; 73.602; 0.05795; 19.4; -1028.3; 1567.0
985.8; 73.841; 0.04079; 576.2; -0.0; 1819.6
988.9; 74.083; 0.02049; 480.5; -0.0; 1828.2
992.0; 74.324; 0.00396; 489.8; -0.0; 1801.9
995.1; 74.564; -0.00769; 517.5; -0.0; 1778.8
998.2; 74.805; -0.01851; 537.3; -0.0; 1721.2
1001.3; 75.046; -0.03036; 555.7; -0.0; 1513.3
1004.4; 75.287; -0.04298; 2472.7; -0.0; 105.4
1007.5; 75.525; -0.05007; 0.3; -1208.3; -1399.3
1010.6; 75.761; -0.03907; 31.2; -641.3; -1730.8
1013.7; 76.002; -0.02151; 124.4; -158.8; -1778.4
1016.8; 76.245; -0.00811; 489.6; -0.0; -1772.3
1019.9; 76.490; -0.00080; 493.3; -0.0; -1761.5
1023.0; 76.734; 0.00329; 499.0; -0.0; -1760.7
1026.1; 76.978; 0.01397; 523.8; -0.0; -1632.8
1029.2; 77.223; 0.04029; 2312.4; -0.0; -262.6
1032.3; 77.464; 0.05839; 0.1; -1071.6; 1521.5
1035.4; 77.704; 0.04303; 591.3; -0.0; 1817.6
1038.5; 77.947; 0.02232; 481.3; -0.0; 1830.8
1041.6; 78.189; 0.00515; 488.4; -0.0; 1803.6
1044.7; 78.430; -0.00685; 516.2; -0.0; 1779.9
1047.8; 78.672; -0.01780; 536.6; -0.0; 1723.2
1050.9; 78.914; -0.02962; 552.4; -0.0; 1522.3
1054.0; 79.156; -0.04212; 2418.6; -0.0; 161.9
1057.1; 79.394; -0.04936; 0.3; -474.8; -1366.2
1060.2; 79.630; -0.03935; 29.3; -682.7; -1708.9
1063.3; 79.869; -0.02203; 39.6; -502.3; -1764.4
1066.4; 80.112; -0.00846; 488.7; -0.0; -1775.6
1069.5; 80.356; -0.00060; 493.5; -0.0; -1764.1
1072.6; 80.601; 0.00420; 501.0; -0.0; -1758.2
1075.7; 80.845; 0.01369; 518.5; -0.0; -1650.8
1078.8; 81.090; 0.03695; 1986.9; -0.0; -536.7
1081.9; 81.332; 0.05881; 0.1; -1187.6; 1440.6
1085.0; 81.574; 0.04683; 611.0; -0.0; 1818.0
1088.1; 81.818; 0.02495; 481.3; -0.0; 1835.6
1091.2; 82.061; 0.00656; 487.4; -0.0; 1805.4
1094.3; 82.305; -0.00590; 516.2; -0.0; 1781.5
1097.4; 82.548; -0.01703; 538.1; -0.0; 1727.5
1100.5; 82.791; -0.02900; 546.6; -0.0; 1538.2
1103.6; 83.035; -0.04178; 2329.6; -0.0; 245.5
1106.7; 83.275; -0.04953; 42.0; -0.3; -1340.1
1109.8; 83.512; -0.04046; 28.6; -698.9; -1703.7
1112.9; 83.751; -0.02303; 39.4; -504.7; -1765.2
1116.0; 83.994; -0.00909; 488.8; -0.0; -1776.0
1119.1; 84.239; -0.00106; 493.0; -0.0; -1764.1
1122.2; 84.483; 0.00366; 500.0; -0.0; -1760.0
1125.3; 84.728; 0.01308; 516.9; -0.0; -1657.5
1128.4; 84.972; 0.03637; 1919.8; -0.0; -587.1
1131.5; 85.214; 0.05847; 0.1; -277.4; 1426.5
1134.6; 85.455; 0.04727; 629.3; -0.0; 1816.2
1137.7; 85.696; 0.02478; 485.0; -0.0; 1835.6
1140.8; 85.936; 0.00607; 486.1; -0.0; 1803.8
1143.9; 86.176; -0.00613; 511.5; -0.0; 1781.0
1147.0; 86.416; -0.01652; 532.6; -0.0; 1733.5
1150.1; 86.656; -0.02749; 538.8; -0.0; 1573.5
1153.2; 86.897; -0.03921; 1946.2; -0.0; 559.0
1156.3; 87.135; -0.04750; 0.4; -124.8; -1181.3
1159.4; 87.370; -0.04199; 25.6; -782.4; -1659.3
1162.5; 87.609; -0.02607; 37.5; -533.3; -1751.2
1165.6; 87.850; -0.01140; 77.6; -251.8; -1761.8
1168.7; 88.095; -0.00167; 493.6; -0.0; -1767.0
1171.8; 88.342; 0.00485; 503.4; -0.0; -1747.2
1174.9; 88.589; 0.01121; 512.3; -0.0; -1679.9
1178.0; 88.836; 0.02735; 1220.9; -0.0; -1070.3
1181.1; 89.082; 0.05752; 0.1; -796.1; 1172.0
1184.2; 89.328; 0.05565; 515.6; -0.2; 1809.6
1187.3; 89.576; 0.03103; 482.2; -0.0; 1846.0
1190.4; 89.824; 0.00960; 485.3; -0.0; 1806.9
1193.5; 90.072; -0.00359; 514.5; -0.0; 1782.9
1196.6; 90.320; -0.01460; 538.5; -0.0; 1736.6
1199.7; 90.567; -0.02636; 538.3; -0.0; 1578.6
1202.8; 90.814; -0.03912; 1985.9; -0.0; 530.1
1205.9; 91.058; -0.04796; 1592.9; -0.1; -1200.8
1209.0; 91.297; -0.04340; 25.9; -771.8; -1673.8
1212.1; 91.535; -0.02696; 38.8; -514.1; -1773.3
1215.2; 91.777; -0.01154; 486.1; -0.1; -1788.7
1218.3; 92.020; -0.00126; 492.8; -0.0; -1769.9
1221.4; 92.263; 0.00564; 503.1; -0.0; -1747.7
1224.5; 92.507; 0.01211; 512.7; -0.0; -1679.1
1227.6; 92.751; 0.02726; 1155.9; -0.0; -1110.1
1230.7; 92.994; 0.05518; 0.2; -1215.1; 1066.9
1233.8; 93.238; 0.05440; 30.6; -652.8; 1768.8
1236.9; 93.488; 0.02974; 492.7; -0.0; 1819.4
1240.0; 93.739; 0.01032; 490.1; -0.0; 1765.0
1243.1; 93.990; 0.00276; 494.4; -0.0; 1749.0
1246.2; 94.241; 0.00063; 495.7; -0.0; 1759.7
1249.3; 94.492; -0.00911; 520.3; -0.0; 1644.7
1252.4; 94.743; -0.03675; 2318.4; -0.0; 271.2
1255.5; 94.990; -0.04806; 1490.0; -0.0; -1277.3
1258.6; 95.231; -0.04665; 793.4; -0.0; -1730.4
1261.7; 95.469; -0.02620; 636.0; -0.0; -1727.0
1264.8; 95.707; -0.00178; 1064.4; -0.0; -1340.8
1267.9; 95.943; 0.00961; 2347.1; -0.0; -345.7
1271.0; 96.174; 0.00341; 2622.0; -0.0; 0.0
1274.1; 96.399; -0.00010; 2625.9; -0.0; 0.0
1277.2; 96.617; -0.00014; 2628.2; -0.0; -2.7
1280.3; 96.828; -0.00916; 2427.6; -0.0; -320.7
1283.4; 97.035; -0.01991; 2012.0; -0.0; -813.6
1286.5; 97.237; -0.02680; 1511.4; -0.0; -1264.1
1289.6; 97.437; -0.02649; 1108.8; -0.0; -1542.2
1292.7; 97.634; -0.02056; 850.5; -0.0; -1673.7
1295.8; 97.831; -0.01275; 701.8; -0.0; -1726.2
1298.9; 98.026; -0.00556; 622.0; -0.0; -1743.5
1302.0; 98.222; 0.00007; 581.7; -0.0; -1746.5
1305.1; 98.417; 0.00391; 561.6; -0.0; -1745.6
1308.2; 98.612; 0.00605; 549.0; -0.0; -1748.8
1311.3; 98.807; 0.00751; 540.0; -0.0; -1751.6
1314.4; 99.002; 0.00903; 536.3; -0.0; -1747.7
1317.5; 99.197; 0.00997; 535.4; -0.0; -1744.3
1320.6; 99.393; 0.01031; 536.5; -0.0; -1741.9
1323.7; 99.588; 0.01022; 538.8; -0.0; -1740.3
1326.8; 99.783; 0.00986; 541.8; -0.0; -1739.1
1329.9; 99.979; 0.00936; 545.2; -0.0; -1738.2
1333.0; 100.174; 0.00881; 548.6; -0.0; -1737.5
1336.1; 100.370; 0.00829; 551.8; -0.0; -1737.1
1339.2; 100.565; 0.00781; 554.4; -0.0; -1737.0
1342.3; 100.761; 0.00742; 556.5; -0.0; -1737.0
1345.4; 100.956; 0.00711; 557.9; -0.0; -1737.2
1348.5; 101.152; 0.00689; 558.6; -0.0; -1737.6
1351.6; 101.347; 0.00677; 558.6; -0.0; -1738.1
1354.7; 101.543; 0.00672; 558.1; -0.0; -1738.7
1357.8; 101.738; 0.00675; 557.2; -0.0; -1739.3
1360.9; 101.934; 0.00685; 556.1; -0.0; -1739.8
1364.0; 102.129; 0.00699; 554.9; -0.0; -1740.1
1367.1; 102.325; 0.00715; 554.0; -0.0; -1740.1
1370.2; 102.520; 0.00731; 553.5; -0.0; -1739.7
1373.3; 102.716; 0.00742; 553.6; -0.0; -1739.0
