# x_r, y_r, x_l, y_l
2.600000000000000533e+00,4.000000000000000000e+00,2.599999999999999645e+00,-4.000000000000000000e+00
2.700000000000000622e+00,4.000000000000000000e+00,2.699999999999999734e+00,-4.000000000000000000e+00
2.800000000000000711e+00,4.000000000000000000e+00,2.799999999999999822e+00,-4.000000000000000000e+00
2.900000000000000799e+00,4.000000000000000000e+00,2.899999999999999911e+00,-4.000000000000000000e+00
3.000000000000000444e+00,4.000000000000000000e+00,2.999999999999999556e+00,-4.000000000000000000e+00
3.100000000000000533e+00,4.000000000000000000e+00,3.099999999999999645e+00,-4.000000000000000000e+00
3.200000000000000622e+00,4.000000000000000000e+00,3.199999999999999734e+00,-4.000000000000000000e+00
3.300000000000000711e+00,4.000000000000000000e+00,3.299999999999999822e+00,-4.000000000000000000e+00
3.400000000000000799e+00,4.000000000000000000e+00,3.399999999999999911e+00,-4.000000000000000000e+00
3.500000000000000444e+00,4.000000000000000000e+00,3.499999999999999556e+00,-4.000000000000000000e+00
3.600000000000000089e+00,4.000000000000000000e+00,3.599999999999999201e+00,-4.000000000000000000e+00
3.700000000000000622e+00,4.000000000000000000e+00,3.699999999999999734e+00,-4.000000000000000000e+00
3.800000000000000266e+00,4.000000000000000000e+00,3.799999999999999378e+00,-4.000000000000000000e+00
3.900000000000000799e+00,4.000000000000000000e+00,3.899999999999999911e+00,-4.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+00,3.999999999999999556e+00,-4.000000000000000000e+00
4.100000000000000533e+00,4.000000000000000000e+00,4.100000000000000533e+00,-4.000000000000000000e+00
4.200000000000000178e+00,4.000000000000000000e+00,4.200000000000000178e+00,-4.000000000000000000e+00
4.299999999999999822e+00,4.000000000000000000e+00,4.299999999999999822e+00,-4.000000000000000000e+00
4.400000000000000355e+00,4.000000000000000000e+00,4.400000000000000355e+00,-4.000000000000000000e+00
4.500000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,-4.000000000000000000e+00
4.600000000000000533e+00,4.000000000000000000e+00,4.600000000000000533e+00,-4.000000000000000000e+00
4.700000000000000178e+00,4.000000000000000000e+00,4.700000000000000178e+00,-4.000000000000000000e+00
4.800000000000000711e+00,4.000000000000000000e+00,4.800000000000000711e+00,-4.000000000000000000e+00
4.900000000000000355e+00,4.000000000000000000e+00,4.900000000000000355e+00,-4.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,-4.000000000000000000e+00
5.099999999999999645e+00,4.000000000000000000e+00,5.099999999999999645e+00,-4.000000000000000000e+00
5.200000000000000178e+00,4.000000000000000000e+00,5.200000000000000178e+00,-4.000000000000000000e+00
5.300000000000000711e+00,4.000000000000000000e+00,5.300000000000000711e+00,-4.000000000000000000e+00
5.400000000000000355e+00,4.000000000000000000e+00,5.400000000000000355e+00,-4.000000000000000000e+00
5.500000000000000000e+00,4.000000000000000000e+00,5.500000000000000000e+00,-4.000000000000000000e+00
5.600000000000000533e+00,4.000000000000000000e+00,5.600000000000000533e+00,-4.000000000000000000e+00
5.700000000000001066e+00,4.000000000000000000e+00,5.700000000000001066e+00,-4.000000000000000000e+00
5.800000000000000711e+00,4.000000000000000000e+00,5.800000000000000711e+00,-4.000000000000000000e+00
5.900000000000000355e+00,4.000000000000000000e+00,5.900000000000000355e+00,-4.000000000000000000e+00
6.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,-4.000000000000000000e+00
6.100000000000001421e+00,4.000000000000000000e+00,6.100000000000001421e+00,-4.000000000000000000e+00
6.200000000000000178e+00,4.000000000000000000e+00,6.200000000000000178e+00,-4.000000000000000000e+00
6.300000000000000711e+00,4.000000000000000000e+00,6.300000000000000711e+00,-4.000000000000000000e+00
6.400000000000000355e+00,4.000000000000000000e+00,6.400000000000000355e+00,-4.000000000000000000e+00
6.500000000000000000e+00,4.000000000000000000e+00,6.500000000000000000e+00,-4.000000000000000000e+00
6.600000000000000533e+00,4.000000000000000000e+00,6.600000000000000533e+00,-4.000000000000000000e+00
6.700000000000000178e+00,4.000000000000000000e+00,6.700000000000000178e+00,-4.000000000000000000e+00
6.800000000000000711e+00,4.000000000000000000e+00,6.800000000000000711e+00,-4.000000000000000000e+00
6.900000000000000355e+00,4.000000000000000000e+00,6.900000000000000355e+00,-4.000000000000000000e+00
7.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,-4.000000000000000000e+00
7.100000000000000533e+00,4.000000000000000000e+00,7.100000000000000533e+00,-4.000000000000000000e+00
7.199999999999999289e+00,4.000000000000000000e+00,7.199999999999999289e+00,-4.000000000000000000e+00
7.300000000000000711e+00,4.000000000000000000e+00,7.300000000000000711e+00,-4.000000000000000000e+00
7.400000000000000355e+00,4.000000000000000000e+00,7.400000000000000355e+00,-4.000000000000000000e+00
7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,-4.000000000000000000e+00
7.599999999999999645e+00,4.000000000000000000e+00,7.599999999999999645e+00,-4.000000000000000000e+00
7.700000000000000178e+00,4.000000000000000000e+00,7.700000000000000178e+00,-4.000000000000000000e+00
7.800000000000000711e+00,4.000000000000000000e+00,7.800000000000000711e+00,-4.000000000000000000e+00
7.900000000000000355e+00,4.000000000000000000e+00,7.900000000000000355e+00,-4.000000000000000000e+00
8.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,-4.000000000000000000e+00
8.099999999999999645e+00,4.000000000000000000e+00,8.099999999999999645e+00,-4.000000000000000000e+00
8.200000000000001066e+00,4.000000000000000000e+00,8.200000000000001066e+00,-4.000000000000000000e+00
8.300000000000000711e+00,4.000000000000000000e+00,8.300000000000000711e+00,-4.000000000000000000e+00
8.400000000000000355e+00,4.000000000000000000e+00,8.400000000000000355e+00,-4.000000000000000000e+00
8.500000000000000000e+00,4.000000000000000000e+00,8.500000000000000000e+00,-4.000000000000000000e+00
8.599999999999999645e+00,4.000000000000000000e+00,8.599999999999999645e+00,-4.000000000000000000e+00
8.700000000000001066e+00,4.000000000000000000e+00,8.700000000000001066e+00,-4.000000000000000000e+00
8.800000000000000711e+00,4.000000000000000000e+00,8.800000000000000711e+00,-4.000000000000000000e+00
8.900000000000000355e+00,4.000000000000000000e+00,8.900000000000000355e+00,-4.000000000000000000e+00
9.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,-4.000000000000000000e+00
9.099999999999999645e+00,4.000000000000000000e+00,9.099999999999999645e+00,-4.000000000000000000e+00
9.200000000000001066e+00,4.000000000000000000e+00,9.200000000000001066e+00,-4.000000000000000000e+00
9.300000000000000711e+00,4.000000000000000000e+00,9.300000000000000711e+00,-4.000000000000000000e+00
9.400000000000000355e+00,4.000000000000000000e+00,9.400000000000000355e+00,-4.000000000000000000e+00
9.500000000000000000e+00,4.000000000000000000e+00,9.500000000000000000e+00,-4.000000000000000000e+00
9.600000000000001421e+00,4.000000000000000000e+00,9.600000000000001421e+00,-4.000000000000000000e+00
