# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
403.0; 21.626; 18.67; 0.03081; 0.09835; -0.03114; -0.05677
406.1; 21.790; 18.98; 0.00633; 0.36003; -0.08065; -0.00888
409.2; 21.954; 18.97; -0.00990; 0.50814; -0.04561; 0.03251
412.3; 22.117; 18.91; -0.02880; 0.51926; 0.02821; 0.05228
415.4; 22.281; 18.82; -0.04438; 0.49053; 0.07682; 0.05327
418.5; 22.446; 18.73; -0.05555; 0.46995; 0.07816; 0.05000
421.6; 22.612; 18.64; -0.06337; 0.44361; 0.04679; 0.05157
424.7; 22.778; 18.56; -0.06494; 0.36214; 0.01453; 0.05985
427.8; 22.944; 18.84; -0.03668; -0.04777; 0.03005; 0.05297
430.9; 23.108; 19.00; -0.00828; -0.34292; 0.06889; 0.01272
434.0; 23.272; 18.83; 0.00969; -0.50108; 0.04980; -0.02497
437.1; 23.437; 18.77; 0.02735; -0.50838; -0.00412; -0.04617
440.2; 23.602; 18.69; 0.04121; -0.47745; -0.04762; -0.05140
443.3; 23.768; 18.61; 0.05018; -0.45329; -0.05966; -0.04886
446.4; 23.935; 18.51; 0.05625; -0.44896; -0.04001; -0.04649
449.5; 24.103; 18.43; 0.05962; -0.40224; -0.00759; -0.05264
452.6; 24.270; 18.66; 0.03698; 0.00687; -0.00953; -0.04846
455.7; 24.435; 18.93; 0.00910; 0.34582; -0.03538; -0.01030
458.8; 24.599; 18.84; -0.00902; 0.51642; -0.00825; 0.02612
461.9; 24.764; 18.77; -0.02854; 0.52192; 0.04627; 0.04647
465.0; 24.929; 18.69; -0.04412; 0.49209; 0.08394; 0.05166
468.1; 25.095; 18.60; -0.05515; 0.47089; 0.08455; 0.04930
471.2; 25.262; 18.51; -0.06294; 0.44876; 0.04797; 0.04781
474.3; 25.430; 18.42; -0.06561; 0.38444; 0.00326; 0.05684
477.4; 25.598; 18.50; -0.04600; 0.06380; 0.01218; 0.06438
480.5; 25.766; 18.27; -0.01434; -0.34958; 0.07882; 0.03354
483.6; 25.937; 18.10; 0.00659; -0.52665; 0.10050; -0.01237
486.7; 26.109; 18.00; 0.02702; -0.54357; 0.06133; -0.04638
489.8; 26.282; 17.92; 0.04325; -0.50361; 0.00686; -0.05861
492.9; 26.455; 17.83; 0.05329; -0.46963; -0.01402; -0.05116
496.0; 26.629; 17.74; 0.05856; -0.44466; 0.02217; -0.04029
499.1; 26.805; 17.65; 0.05922; -0.40332; 0.07593; -0.04953
502.2; 26.978; 18.15; 0.02741; 0.08501; 0.05587; -0.05151
505.3; 27.147; 18.57; 0.00604; 0.29345; -0.02577; -0.03271
508.4; 27.314; 18.56; -0.00689; 0.53357; -0.08940; -0.00741
511.5; 27.482; 18.49; -0.02819; 0.53743; -0.12359; 0.02474
514.6; 27.650; 18.44; -0.03957; 0.38627; -0.11543; 0.05332
517.7; 27.816; 18.94; -0.01799; -0.00219; -0.04108; 0.04885
520.8; 27.978; 19.44; -0.00271; -0.02271; 0.05006; 0.02724
523.9; 28.135; 19.94; -0.00047; -0.04412; 0.10471; 0.01193
527.0; 28.289; 20.41; -0.00013; -0.10822; 0.11732; -0.00208
530.1; 28.439; 20.88; 0.00109; -0.16927; 0.08899; -0.01615
533.2; 28.586; 21.33; 0.00298; -0.16008; 0.03286; -0.02293
536.3; 28.730; 21.77; 0.00361; -0.15513; -0.02498; -0.01946
539.4; 28.872; 22.06; 0.00486; -0.23754; -0.06558; -0.01423
542.5; 29.012; 22.17; 0.01029; -0.33885; -0.08644; -0.01454
545.6; 29.151; 22.19; 0.01909; -0.37869; -0.09205; -0.01949
548.7; 29.291; 22.18; 0.02706; -0.36971; -0.08793; -0.02512
551.8; 29.430; 22.16; 0.03185; -0.35001; -0.07973; -0.02920
554.9; 29.570; 22.14; 0.03373; -0.33434; -0.07162; -0.03144
558.0; 29.710; 22.11; 0.03372; -0.32416; -0.06579; -0.03228
561.1; 29.850; 22.10; 0.03268; -0.31757; -0.06280; -0.03207
564.2; 29.990; 22.09; 0.03117; -0.31286; -0.06203; -0.03110
567.3; 30.131; 22.09; 0.02949; -0.30920; -0.06247; -0.02967
570.4; 30.271; 22.10; 0.02786; -0.30657; -0.06339; -0.02813
573.5; 30.411; 22.12; 0.02644; -0.30547; -0.06445; -0.02673
576.6; 30.551; 22.14; 0.02540; -0.30640; -0.06545; -0.02566
579.7; 30.691; 22.17; 0.02485; -0.30932; -0.06628; -0.02509
582.8; 30.830; 22.19; 0.02484; -0.31350; -0.06712; -0.02515
585.9; 30.970; 22.21; 0.02527; -0.31777; -0.06843; -0.02586
589.0; 31.109; 22.22; 0.02601; -0.32107; -0.07081; -0.02705
592.1; 31.249; 22.23; 0.02684; -0.32274; -0.07482; -0.02847
595.2; 31.388; 22.23; 0.02758; -0.32266; -0.08073; -0.02983
598.3; 31.527; 22.24; 0.02810; -0.32142; -0.08844; -0.03084
601.4; 31.666; 22.24; 0.02835; -0.31956; -0.09734; -0.03132
604.5; 31.806; 22.24; 0.02834; -0.31758; -0.10636; -0.03111
607.6; 31.945; 22.24; 0.02817; -0.31650; -0.11397; -0.03022
610.7; 32.084; 22.25; 0.02798; -0.31659; -0.11853; -0.02880
613.8; 32.223; 22.25; 0.02789; -0.31752; -0.11885; -0.02728
616.9; 32.362; 22.26; 0.02793; -0.31871; -0.11504; -0.02615
620.0; 32.501; 22.26; 0.02807; -0.31958; -0.10837; -0.02564
623.1; 32.640; 22.26; 0.02826; -0.31993; -0.10045; -0.02567
626.2; 32.779; 22.26; 0.02842; -0.31982; -0.09274; -0.02611
629.3; 32.918; 22.27; 0.02853; -0.31939; -0.08640; -0.02681
632.4; 33.057; 22.27; 0.02857; -0.31900; -0.08230; -0.02767
635.5; 33.196; 22.27; 0.02857; -0.31894; -0.08093; -0.02860
638.6; 33.335; 22.27; 0.02858; -0.31907; -0.08247; -0.02954
641.7; 33.474; 22.27; 0.02859; -0.31907; -0.08675; -0.03038
644.8; 33.613; 22.27; 0.02860; -0.31881; -0.09329; -0.03099
647.9; 33.752; 22.27; 0.02856; -0.31822; -0.10126; -0.03125
651.0; 33.891; 22.27; 0.02847; -0.31758; -0.10951; -0.03103
654.1; 34.030; 22.28; 0.02836; -0.31732; -0.11658; -0.03028
657.2; 34.169; 22.28; 0.02827; -0.31756; -0.12090; -0.02906
660.3; 34.308; 22.28; 0.02825; -0.31832; -0.12126; -0.02769
663.4; 34.447; 22.28; 0.02832; -0.31925; -0.11767; -0.02663
666.5; 34.586; 22.28; 0.02846; -0.31990; -0.11132; -0.02614
669.6; 34.725; 22.28; 0.02862; -0.32018; -0.10382; -0.02619
672.7; 34.864; 22.28; 0.02877; -0.32009; -0.09666; -0.02665
675.8; 35.003; 22.28; 0.02885; -0.31958; -0.09101; -0.02737
678.9; 35.141; 22.28; 0.02886; -0.31909; -0.08767; -0.02822
682.0; 35.280; 22.28; 0.02882; -0.31870; -0.08709; -0.02910
685.1; 35.419; 22.28; 0.02876; -0.31841; -0.08934; -0.02992
688.2; 35.558; 22.28; 0.02868; -0.31834; -0.09415; -0.03059
691.3; 35.697; 22.28; 0.02863; -0.31850; -0.10090; -0.03103
694.4; 35.836; 22.28; 0.02862; -0.31895; -0.10867; -0.03117
697.5; 35.975; 22.29; 0.02866; -0.31970; -0.11631; -0.03097
700.6; 36.114; 22.28; 0.02876; -0.32004; -0.12239; -0.03030
703.7; 36.253; 22.28; 0.02882; -0.31893; -0.12523; -0.02904
706.8; 36.392; 22.29; 0.02868; -0.31572; -0.12330; -0.02719
709.9; 36.530; 22.29; 0.02820; -0.31116; -0.11598; -0.02498
713.0; 36.669; 22.31; 0.02739; -0.30653; -0.10373; -0.02270
716.1; 36.808; 22.32; 0.02641; -0.30407; -0.08744; -0.02054
719.2; 36.947; 22.35; 0.02569; -0.30745; -0.06805; -0.01901
722.3; 37.085; 22.36; 0.02575; -0.31745; -0.04692; -0.01885
725.4; 37.224; 22.36; 0.02696; -0.33178; -0.02620; -0.02068
728.5; 37.362; 22.35; 0.02934; -0.34682; -0.00886; -0.02474
731.6; 37.501; 22.32; 0.03266; -0.35945; 0.00176; -0.03082
734.7; 37.640; 22.27; 0.03656; -0.36753; 0.00248; -0.03839
737.8; 37.780; 22.21; 0.04050; -0.36879; -0.00919; -0.04664
740.9; 37.919; 22.15; 0.04364; -0.35819; -0.03459; -0.05426
744.0; 38.059; 22.10; 0.04418; -0.32161; -0.07322; -0.05864
747.1; 38.200; 21.97; 0.04132; -0.26615; -0.11981; -0.05679
750.2; 38.341; 21.73; 0.03375; -0.17249; -0.16255; -0.04531
753.3; 38.485; 21.33; 0.02192; -0.06003; -0.18408; -0.02345
756.4; 38.632; 20.75; 0.01063; 0.01275; -0.16943; 0.00039
759.5; 38.784; 20.16; 0.00301; 0.06629; -0.12025; 0.01652
762.6; 38.940; 19.56; -0.00124; 0.07314; -0.05994; 0.01933
765.7; 39.101; 18.93; -0.00259; 0.05891; -0.01375; 0.01514
768.8; 39.268; 18.30; -0.00223; -0.03688; 0.01659; 0.01298
771.9; 39.439; 17.83; -0.00028; -0.23561; 0.04385; 0.01142
775.0; 39.614; 17.64; 0.00567; -0.48247; 0.06850; 0.00162
778.1; 39.791; 17.51; 0.02371; -0.58217; 0.08990; -0.02018
781.2; 39.969; 17.43; 0.04233; -0.50448; 0.08615; -0.05717
784.3; 40.145; 17.83; 0.02265; 0.15339; 0.01039; -0.05896
787.4; 40.319; 17.65; 0.00263; 0.55451; -0.05881; -0.01044
790.5; 40.496; 17.58; -0.02155; 0.56445; -0.05896; 0.02965
