# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
372.0; 19.952; -0.077; 7.720; 7.720
375.1; 20.120; -0.003; 7.296; 7.296
378.2; 20.286; 2.195; 3.735; 4.332
381.3; 20.451; -0.068; -4.799; 4.799
384.4; 20.617; -0.945; -7.415; 7.475
387.5; 20.784; -0.253; -7.915; 7.919
390.6; 20.951; -0.216; -7.829; 7.832
393.7; 21.119; -0.169; -7.757; 7.758
396.8; 21.288; -0.139; -7.771; 7.773
399.9; 21.457; -0.069; -7.494; 7.494
403.0; 21.626; 2.944; -2.943; 4.162
406.1; 21.790; 1.795; 4.964; 5.279
409.2; 21.954; -0.044; 7.560; 7.560
412.3; 22.117; -0.271; 7.979; 7.984
415.4; 22.281; -0.239; 7.929; 7.932
418.5; 22.446; -0.169; 7.860; 7.861
421.6; 22.612; -0.093; 7.726; 7.727
424.7; 22.778; -0.017; 7.306; 7.306
427.8; 22.944; 1.986; 3.999; 4.465
430.9; 23.108; 0.900; -4.332; 4.424
434.0; 23.272; -1.025; -7.244; 7.316
437.1; 23.437; -0.242; -7.898; 7.902
440.2; 23.602; -0.223; -7.848; 7.851
443.3; 23.768; -0.178; -7.772; 7.774
446.4; 23.935; -0.145; -7.769; 7.771
449.5; 24.103; -0.079; -7.512; 7.512
452.6; 24.270; 1.671; -4.389; 4.696
455.7; 24.435; 1.623; 4.365; 4.657
458.8; 24.599; -0.594; 7.447; 7.471
461.9; 24.764; -0.272; 7.973; 7.978
465.0; 24.929; -0.237; 7.921; 7.925
468.1; 25.095; -0.168; 7.849; 7.851
471.2; 25.262; -0.095; 7.737; 7.738
474.3; 25.430; -0.025; 7.406; 7.406
477.4; 25.598; 0.836; 5.322; 5.388
480.5; 25.766; -1.450; -3.546; 3.831
483.6; 25.937; -1.006; -7.292; 7.362
486.7; 26.109; -0.474; -7.962; 7.976
489.8; 26.282; -0.231; -7.886; 7.889
492.9; 26.455; -0.150; -7.749; 7.750
496.0; 26.629; -0.095; -7.637; 7.637
499.1; 26.805; -0.056; -7.432; 7.432
502.2; 26.978; 3.149; -2.768; 4.193
505.3; 27.147; 2.424; 4.132; 4.790
508.4; 27.314; -0.105; 7.677; 7.677
511.5; 27.482; -0.294; 8.017; 8.022
514.6; 27.650; -0.048; 7.282; 7.282
517.7; 27.816; 3.164; 2.935; 4.316
520.8; 27.978; 3.141; 0.169; 3.146
523.9; 28.135; 3.127; -0.717; 3.208
527.0; 28.289; 3.104; -1.955; 3.668
530.1; 28.439; 3.073; -3.191; 4.430
533.2; 28.586; 3.066; -3.293; 4.499
536.3; 28.730; 3.055; -3.312; 4.506
539.4; 28.872; 2.059; -4.659; 5.093
542.5; 29.012; 0.840; -6.291; 6.346
545.6; 29.151; 0.264; -7.091; 7.096
548.7; 29.291; 0.095; -7.306; 7.307
551.8; 29.430; 0.056; -7.335; 7.335
554.9; 29.570; 0.061; -7.312; 7.312
558.0; 29.710; 0.085; -7.269; 7.269
561.1; 29.850; 0.122; -7.210; 7.211
564.2; 29.990; 0.168; -7.140; 7.142
567.3; 30.131; 0.220; -7.063; 7.067
570.4; 30.271; 0.273; -6.987; 6.993
573.5; 30.411; 0.318; -6.925; 6.932
576.6; 30.551; 0.347; -6.888; 6.897
579.7; 30.691; 0.353; -6.885; 6.894
582.8; 30.830; 0.337; -6.913; 6.922
585.9; 30.970; 0.307; -6.961; 6.967
589.0; 31.109; 0.273; -7.012; 7.017
592.1; 31.249; 0.244; -7.054; 7.058
595.2; 31.388; 0.224; -7.080; 7.084
598.3; 31.527; 0.215; -7.091; 7.094
601.4; 31.666; 0.215; -7.089; 7.092
604.5; 31.806; 0.221; -7.077; 7.081
607.6; 31.945; 0.229; -7.066; 7.070
610.7; 32.084; 0.233; -7.062; 7.066
613.8; 32.223; 0.232; -7.065; 7.069
616.9; 32.362; 0.227; -7.075; 7.078
620.0; 32.501; 0.220; -7.085; 7.088
623.1; 32.640; 0.214; -7.093; 7.096
626.2; 32.779; 0.210; -7.098; 7.101
629.3; 32.918; 0.209; -7.099; 7.102
632.4; 33.057; 0.209; -7.098; 7.101
635.5; 33.196; 0.209; -7.099; 7.102
638.6; 33.335; 0.209; -7.100; 7.103
641.7; 33.474; 0.208; -7.101; 7.104
644.8; 33.613; 0.209; -7.099; 7.102
647.9; 33.752; 0.212; -7.093; 7.097
651.0; 33.891; 0.217; -7.086; 7.090
654.1; 34.030; 0.220; -7.081; 7.085
657.2; 34.169; 0.222; -7.080; 7.084
660.3; 34.308; 0.219; -7.085; 7.088
663.4; 34.447; 0.214; -7.093; 7.097
666.5; 34.586; 0.209; -7.102; 7.105
669.6; 34.725; 0.204; -7.109; 7.112
672.7; 34.864; 0.200; -7.113; 7.116
675.8; 35.003; 0.200; -7.113; 7.116
678.9; 35.141; 0.201; -7.110; 7.113
682.0; 35.280; 0.204; -7.107; 7.110
685.1; 35.419; 0.206; -7.103; 7.106
688.2; 35.558; 0.208; -7.100; 7.103
691.3; 35.697; 0.209; -7.100; 7.103
694.4; 35.836; 0.208; -7.102; 7.105
697.5; 35.975; 0.204; -7.109; 7.112
700.6; 36.114; 0.200; -7.114; 7.117
703.7; 36.253; 0.203; -7.107; 7.110
706.8; 36.392; 0.219; -7.079; 7.082
709.9; 36.530; 0.248; -7.031; 7.035
713.0; 36.669; 0.288; -6.970; 6.976
716.1; 36.808; 0.325; -6.918; 6.926
719.2; 36.947; 0.332; -6.919; 6.927
722.3; 37.085; 0.289; -6.997; 7.003
725.4; 37.224; 0.201; -7.142; 7.145
728.5; 37.362; 0.094; -7.317; 7.318
731.6; 37.501; -0.004; -7.480; 7.480
734.7; 37.640; -0.077; -7.603; 7.603
737.8; 37.780; -0.118; -7.664; 7.665
740.9; 37.919; -0.119; -7.632; 7.633
744.0; 38.059; -0.043; -7.411; 7.411
747.1; 38.200; -0.630; -6.795; 6.824
750.2; 38.341; -1.455; -5.528; 5.717
753.3; 38.485; -2.680; -3.304; 4.254
756.4; 38.632; -3.888; -1.072; 4.033
759.5; 38.784; -3.880; 0.574; 3.922
762.6; 38.940; -3.865; 1.169; 4.038
765.7; 39.101; -3.849; 1.131; 4.012
768.8; 39.268; -3.834; -0.291; 3.845
771.9; 39.439; -2.690; -3.441; 4.368
775.0; 39.614; -1.099; -6.961; 7.047
778.1; 39.791; -0.629; -8.103; 8.127
781.2; 39.969; -0.216; -7.812; 7.815
784.3; 40.145; 2.400; -0.807; 2.532
787.4; 40.319; -1.158; 7.116; 7.209
790.5; 40.496; -0.308; 7.999; 8.005
793.6; 40.672; -0.293; 8.135; 8.140
796.7; 40.850; -0.121; 7.894; 7.895
799.8; 41.029; 0.015; 7.521; 7.521
802.9; 41.208; 0.050; 7.102; 7.102
806.0; 41.386; 3.196; 2.719; 4.197
809.1; 41.558; 3.127; -2.799; 4.196
812.2; 41.726; 1.600; -5.184; 5.425
815.3; 41.893; 0.175; -7.176; 7.178
818.4; 42.060; -0.216; -7.847; 7.850
821.5; 42.227; -0.253; -7.929; 7.933
824.6; 42.395; -0.199; -7.855; 7.858
827.7; 42.564; -0.121; -7.666; 7.667
830.8; 42.734; 0.141; -6.606; 6.607
833.9; 42.902; 3.098; 2.001; 3.688
837.0; 43.067; 0.129; 7.152; 7.153
840.1; 43.232; -0.244; 7.906; 7.910
843.2; 43.398; -0.261; 7.963; 7.968
846.3; 43.564; -0.193; 7.894; 7.897
849.4; 43.732; -0.112; 7.801; 7.802
852.5; 43.900; -0.030; 7.529; 7.529
855.6; 44.069; 0.183; 6.379; 6.381
858.7; 44.236; 3.098; -1.846; 3.606
861.8; 44.400; -0.278; -6.765; 6.771
864.9; 44.565; -0.317; -7.817; 7.823
868.0; 44.731; -0.245; -7.902; 7.906
871.1; 44.897; -0.199; -7.825; 7.828
874.2; 45.064; -0.148; -7.759; 7.761
877.3; 45.232; -0.100; -7.664; 7.664
880.4; 45.401; 0.032; -6.925; 6.925
883.5; 45.568; 3.113; 0.907; 3.243
886.6; 45.733; -1.178; 7.029; 7.127
889.7; 45.899; -0.252; 7.913; 7.917
892.8; 46.066; -0.258; 7.958; 7.962
895.9; 46.234; -0.186; 7.888; 7.890
899.0; 46.402; -0.105; 7.808; 7.808
902.1; 46.572; -0.021; 7.566; 7.566
905.2; 46.742; 0.114; 6.571; 6.572
908.3; 46.911; 3.105; -1.450; 3.427
911.4; 47.076; 0.445; -6.772; 6.787
914.5; 47.241; -0.205; -7.830; 7.833
917.6; 47.407; -0.249; -7.911; 7.915
920.7; 47.573; -0.203; -7.834; 7.837
923.8; 47.740; -0.150; -7.772; 7.773
926.9; 47.908; -0.100; -7.682; 7.682
930.0; 48.077; 0.016; -6.996; 6.996
933.1; 48.244; 3.119; 0.573; 3.171
936.2; 48.409; -0.407; 6.989; 7.001
939.3; 48.574; -0.247; 7.911; 7.915
942.4; 48.740; -0.263; 7.969; 7.973
945.5; 48.906; -0.193; 7.898; 7.901
948.6; 49.073; -0.111; 7.818; 7.819
951.7; 49.242; -0.027; 7.588; 7.588
954.8; 49.411; 0.088; 6.681; 6.682
957.9; 49.578; 3.111; -0.954; 3.254
961.0; 49.742; 0.440; -6.660; 6.674
964.1; 49.906; -0.194; -7.814; 7.817
967.2; 50.071; -0.248; -7.910; 7.914
970.3; 50.236; -0.204; -7.832; 7.835
973.4; 50.402; -0.154; -7.773; 7.775
976.5; 50.569; -0.108; -7.707; 7.708
979.6; 50.737; -0.008; -7.116; 7.116
982.7; 50.902; 3.128; -0.096; 3.129
985.8; 51.066; -0.455; 6.865; 6.880
988.9; 51.231; -0.243; 7.907; 7.910
992.0; 51.396; -0.264; 7.972; 7.977
995.1; 51.561; -0.196; 7.899; 7.902
998.2; 51.728; -0.116; 7.824; 7.824
1001.3; 51.895; -0.033; 7.616; 7.616
1004.4; 52.063; 0.061; 6.828; 6.829
1007.5; 52.229; 3.123; -0.174; 3.128
1010.6; 52.393; 0.037; -6.436; 6.437
1013.7; 52.557; -0.546; -7.744; 7.763
1016.8; 52.722; -0.245; -7.900; 7.904
1019.9; 52.888; -0.202; -7.823; 7.825
1023.0; 53.054; -0.155; -7.770; 7.771
1026.1; 53.221; -0.113; -7.731; 7.732
1029.2; 53.389; -0.026; -7.236; 7.236
1032.3; 53.555; 3.140; -0.775; 3.234
1035.4; 53.720; -0.381; 6.742; 6.752
1038.5; 53.884; -0.240; 7.902; 7.906
1041.6; 54.049; -0.267; 7.976; 7.980
1044.7; 54.215; -0.198; 7.900; 7.903
1047.8; 54.382; -0.119; 7.828; 7.829
1050.9; 54.549; -0.036; 7.639; 7.639
1054.0; 54.718; 0.047; 6.938; 6.939
1057.1; 54.884; 3.134; 0.456; 3.167
1060.2; 55.048; 0.038; -6.242; 6.242
1063.3; 55.213; -0.801; -7.680; 7.722
1066.4; 55.379; -0.245; -7.894; 7.898
1069.5; 55.545; -0.202; -7.818; 7.821
1072.6; 55.712; -0.157; -7.769; 7.771
1075.7; 55.879; -0.117; -7.751; 7.752
1078.8; 56.048; -0.036; -7.324; 7.324
1081.9; 56.215; 3.150; -1.315; 3.413
1085.0; 56.380; 0.036; 6.636; 6.636
1088.1; 56.545; -0.237; 7.897; 7.900
1091.2; 56.710; -0.270; 7.982; 7.987
1094.3; 56.875; -0.202; 7.905; 7.907
1097.4; 57.042; -0.122; 7.835; 7.836
1100.5; 57.210; -0.038; 7.658; 7.658
1103.6; 57.378; 0.041; 7.015; 7.015
1106.7; 57.545; 3.142; 0.938; 3.279
1109.8; 57.709; 0.479; -6.119; 6.138
1112.9; 57.873; -0.734; -7.663; 7.699
1116.0; 58.037; -0.245; -7.898; 7.901
1119.1; 58.203; -0.206; -7.824; 7.827
1122.2; 58.369; -0.162; -7.777; 7.779
1125.3; 58.536; -0.122; -7.770; 7.771
1128.4; 58.704; -0.045; -7.406; 7.406
1131.5; 58.870; 3.160; -2.106; 3.798
1134.6; 59.034; 0.234; 6.385; 6.389
1137.7; 59.198; -0.221; 7.870; 7.873
1140.8; 59.362; -0.272; 7.986; 7.990
1143.9; 59.527; -0.208; 7.908; 7.911
1147.0; 59.692; -0.131; 7.843; 7.844
1150.1; 59.859; -0.050; 7.694; 7.695
1153.2; 60.026; 0.025; 7.184; 7.184
1156.3; 60.192; 3.061; 2.388; 3.882
1159.4; 60.356; -0.765; -5.582; 5.634
1162.5; 60.521; -0.872; -7.522; 7.573
1165.6; 60.687; -0.431; -7.904; 7.916
1168.7; 60.854; -0.219; -7.879; 7.882
1171.8; 61.022; -0.154; -7.802; 7.803
1174.9; 61.191; -0.092; -7.699; 7.700
1178.0; 61.361; -0.033; -7.386; 7.386
1181.1; 61.530; 2.374; -3.576; 4.292
1184.2; 61.697; -0.179; 5.494; 5.497
1187.3; 61.864; -0.195; 7.814; 7.816
1190.4; 62.032; -0.291; 8.020; 8.025
1193.5; 62.201; -0.217; 7.919; 7.922
1196.6; 62.370; -0.132; 7.851; 7.852
1199.7; 62.540; -0.045; 7.713; 7.713
1202.8; 62.711; 0.034; 7.237; 7.237
1205.9; 62.880; 3.173; 2.610; 4.109
1209.0; 63.046; 0.685; -5.470; 5.513
1212.1; 63.212; -0.891; -7.513; 7.566
1215.2; 63.379; -0.264; -7.942; 7.946
1218.3; 63.546; -0.227; -7.899; 7.903
1221.4; 63.714; -0.158; -7.823; 7.824
1224.5; 63.883; -0.090; -7.715; 7.715
1227.6; 64.054; -0.024; -7.381; 7.381
1230.7; 64.223; 2.703; -3.188; 4.180
1233.8; 64.389; 0.121; 5.771; 5.772
1236.9; 64.556; -0.225; 7.875; 7.878
1240.0; 64.724; -0.261; 7.930; 7.934
1243.1; 64.891; -0.183; 7.731; 7.733
1246.2; 65.060; -0.149; 7.675; 7.677
1249.3; 65.229; -0.145; 7.749; 7.751
1252.4; 65.400; -0.082; 7.478; 7.478
1255.5; 65.568; 3.170; 2.248; 3.886
1258.6; 65.734; 1.042; -5.959; 6.050
1261.7; 65.899; -0.177; -7.788; 7.790
1264.8; 66.064; -0.083; -7.479; 7.479
1267.9; 66.228; 2.051; -4.326; 4.788
1271.0; 66.388; 3.125; -2.528; 4.019
1274.1; 66.545; 3.126; -0.295; 3.140
1277.2; 66.698; 3.113; 0.566; 3.164
1280.3; 66.847; 3.101; -0.652; 3.168
1283.4; 66.993; 3.065; -2.683; 4.074
1286.5; 67.136; 3.049; -3.328; 4.513
1289.6; 67.277; 2.837; -3.610; 4.592
1292.7; 67.415; 1.533; -5.370; 5.584
1295.8; 67.552; 0.510; -6.762; 6.781
1298.9; 67.690; 0.127; -7.298; 7.299
1302.0; 67.827; 0.027; -7.409; 7.409
1305.1; 67.964; 0.008; -7.411; 7.411
1308.2; 68.102; 0.016; -7.387; 7.387
1311.3; 68.240; 0.035; -7.353; 7.353
1314.4; 68.378; 0.062; -7.312; 7.312
1317.5; 68.516; 0.093; -7.265; 7.266
1320.6; 68.655; 0.125; -7.216; 7.217
1323.7; 68.793; 0.157; -7.169; 7.171
1326.8; 68.932; 0.186; -7.127; 7.130
1329.9; 69.070; 0.209; -7.096; 7.099
1333.0; 69.209; 0.222; -7.079; 7.082
1336.1; 69.348; 0.226; -7.076; 7.080
1339.2; 69.486; 0.221; -7.086; 7.090
1342.3; 69.624; 0.210; -7.104; 7.107
1345.4; 69.763; 0.197; -7.123; 7.126
1348.5; 69.901; 0.187; -7.138; 7.140
1351.6; 70.040; 0.181; -7.145; 7.148
1354.7; 70.178; 0.179; -7.146; 7.148
1357.8; 70.317; 0.182; -7.140; 7.142
1360.9; 70.455; 0.187; -7.132; 7.134
1364.0; 70.594; 0.191; -7.127; 7.129
1367.1; 70.733; 0.193; -7.125; 7.128
1370.2; 70.871; 0.192; -7.127; 7.130
1373.3; 71.010; 0.190; -7.130; 7.132
1376.4; 71.148; 0.189; -7.132; 7.134
1379.5; 71.287; 0.188; -7.132; 7.135
1382.6; 71.426; 0.189; -7.130; 7.133
1385.7; 71.564; 0.190; -7.129; 7.131
1388.8; 71.703; 0.191; -7.127; 7.130
1391.9; 71.842; 0.192; -7.126; 7.129
1395.0; 71.981; 0.192; -7.125; 7.128
1398.1; 72.119; 0.194; -7.123; 7.125
1401.2; 72.258; 0.198; -7.116; 7.119
1404.3; 72.397; 0.202; -7.110; 7.113
1407.4; 72.536; 0.205; -7.105; 7.108
1410.5; 72.674; 0.208; -7.102; 7.105
1413.6; 72.813; 0.207; -7.103; 7.107
1416.7; 72.952; 0.204; -7.109; 7.112
1419.8; 73.090; 0.200; -7.115; 7.118
1422.9; 73.229; 0.196; -7.122; 7.125
1426.0; 73.368; 0.192; -7.126; 7.129
1429.1; 73.507; 0.191; -7.127; 7.129
1432.2; 73.646; 0.192; -7.125; 7.128
1435.3; 73.785; 0.193; -7.123; 7.126
1438.4; 73.923; 0.195; -7.120; 7.122
1441.5; 74.062; 0.200; -7.113; 7.115
1444.6; 74.201; 0.205; -7.104; 7.107
1447.7; 74.340; 0.210; -7.097; 7.100
1450.8; 74.479; 0.212; -7.094; 7.098
1453.9; 74.617; 0.212; -7.096; 7.099
1457.0; 74.756; 0.206; -7.106; 7.109
1460.1; 74.895; 0.198; -7.120; 7.122
1463.2; 75.034; 0.192; -7.127; 7.129
1466.3; 75.172; 0.197; -7.116; 7.119
1469.4; 75.311; 0.216; -7.082; 7.085
1472.5; 75.450; 0.250; -7.026; 7.031
1475.6; 75.589; 0.294; -6.961; 6.967
1478.7; 75.728; 0.327; -6.918; 6.926
1481.8; 75.866; 0.320; -6.941; 6.949
1484.9; 76.005; 0.260; -7.045; 7.049
1488.0; 76.144; 0.166; -7.199; 7.201
1491.1; 76.282; 0.073; -7.347; 7.347
1494.2; 76.421; 0.019; -7.422; 7.422
1497.3; 76.560; 0.046; -7.331; 7.331
1500.4; 76.699; 0.306; -6.824; 6.831
1503.5; 76.838; -0.718; -5.540; 5.587
1506.6; 76.979; -2.545; -3.683; 4.476
