# 2024-11-22 12:01:23
# d41d8cd98f00b204e9800998ecf8427e
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
1.365702614769919698e+01;2.394800121764810719e+00;-1.809718284809114786e-01;4.184642849555679778e-01;-4.238821381134545707e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.934898829595019132e-01;7.920457215123436479e-01
1.370695691130054250e+01;2.440444102824344874e+00;-1.607305798324151491e-01;4.163046046246809961e-01;-4.388946350125634555e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.909727527607820052e-01;8.092510275404243281e-01
1.375680428233037844e+01;2.486056104882928608e+00;-1.406232262821884571e-01;4.140849487958341846e-01;-4.493709333131127442e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.916995413232164713e-01;8.341000985951753099e-01
1.380656793182784980e+01;2.531636428277550088e+00;-1.206518735350936289e-01;4.118283092130198275e-01;-4.552339587267182491e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.894238065204613575e-01;8.577020813001037247e-01
1.385624806753528304e+01;2.577185387187427068e+00;-1.008173524636056390e-01;4.095579274653304847e-01;-4.564047757173180647e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.737674467327013250e-01;8.420457215123436923e-01
1.390584542352888953e+01;2.622703309634014879e+00;-8.111921910780585387e-02;4.072972976664968603e-01;-4.528040989282311468e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.810953242686623055e-01;8.215372798130851084e-01
1.395536124966358571e+01;2.668190537480993996e+00;-6.155575467538769441e-02;4.050701641088007010e-01;-4.443538155934988187e-02;1.000000000000000000e+00;0.000000000000000000e+00;1.002876597504406941e+00;8.396290371822593412e-01
1.400479730110632559e+01;2.713647426434279808e+00;-4.212396554165401957e-02;4.029005139150534931e-01;-4.309785158992487236e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.688090719960015251e-01;8.092510275404243281e-01
1.405415582823922627e+01;2.759074346042022174e+00;-2.281958324951506578e-02;4.008125647192603003e-01;-4.126070287510686524e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.689629492782486642e-01;8.260974315937809065e-01
1.410343956722050329e+01;2.804471679694599651e+00;-3.637064509493590295e-03;3.988307474103727768e-01;-3.891739611259950604e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.349112391968114055e-01;8.420457215123436923e-01
1.415265173149734501e+01;2.849839824624626150e+00;1.543040880028090887e-02;3.969796839728250148e-01;-3.606212401944181023e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.552932818344913590e-01;7.920457215123436479e-01
1.420179600457009883e+01;2.895179191906945171e+00;3.439092963406710501e-02;3.952841604519628516e-01;-3.268996585989222825e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.606951889875825490e-01;8.092510275404243281e-01
1.425087653431146073e+01;2.940490206458632017e+00;5.325386577851440317e-02;3.937690950614122776e-01;-2.879704246830961864e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.855442600423335309e-01;8.341000985951753099e-01
1.429989792914722635e+01;2.985773307038997793e+00;7.202985985266441293e-02;3.924595014322629360e-01;-2.438067209523198109e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.505675989845714380e-01;8.077020813001036803e-01
1.434886525640659372e+01;3.031028946249581413e+00;9.073082930794654222e-02;3.913804469809867292e-01;-1.943952755682059122e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.372430857388271974e-01;8.276850412832500448e-01
1.439778404314960092e+01;3.076257590534158481e+00;1.093699664281832656e-01;3.905570063437521777e-01;-1.397379531227692546e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.849112391968114499e-01;7.920457215123436479e-01
1.444666027977680578e+01;3.121459720178731523e+00;1.279617383295855448e-01;3.900142097901704297e-01;-7.985337211692452100e-03;1.000000000000000000e+00;0.000000000000000000e+00;9.224985878625719948e-01;8.092510275404243281e-01
1.449550042672161254e+01;3.166635829311538419e+00;1.465218869607546603e-01;3.897769864902597692e-01;-1.477855742564890794e-03;1.000000000000000000e+00;0.000000000000000000e+00;9.705505589677178024e-01;8.276850412832500448e-01
1.454431142451829295e+01;3.211786425903049746e+00;1.650674291026842933e-01;3.898701024653872804e-01;5.542936368172543711e-03;1.000000000000000000e+00;0.000000000000000000e+00;9.052932818344913146e-01;7.920457215123436479e-01
1.459310070752863808e+01;3.256912031765965221e+00;1.836166563687560149e-01;3.903180930096037948e-01;1.306842092873168777e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.606951889875825490e-01;8.092510275404243281e-01
1.464187622159695401e+01;3.302013182555221249e+00;2.021891352047443247e-01;3.911451190384130916e-01;2.102882208477533169e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.205505589677177580e-01;8.276850412832500448e-01
1.469064644357799310e+01;3.347090428251044525e+00;2.208056996718595899e-01;3.923692253451306899e-01;2.911481324515639152e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.372430857388271974e-01;8.276850412832500448e-01
1.473942022071342528e+01;3.392144372091473681e+00;2.394878697942073309e-01;3.939848117072454747e-01;3.683469027792098810e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.349112391968114055e-01;7.920457215123436479e-01
1.478820621525988876e+01;3.437175791216984244e+00;2.582560491259954794e-01;3.959624077157303246e-01;4.387550386252916240e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.126991698444714141e-01;7.531411253888942170e-01
1.483701272021876250e+01;3.482185677487467323e+00;2.771289149449097100e-01;3.982662404685408664e-01;5.016732457572099096e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.509791216757944587e-01;8.081136039913267011e-01
1.488584766050525587e+01;3.527175238051007522e+00;2.961234097548533506e-01;4.008602623705783685e-01;5.570466340377373815e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.269254040896437452e-01;7.673673596340665481e-01
1.493471859116453260e+01;3.572145895343862509e+00;3.152547412859431630e-01;4.037083178607634992e-01;6.048545927036130809e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.112090206186582719e-01;7.794872953983006392e-01
1.498363269053496616e+01;3.617099287090477677e+00;3.345363824945108422e-01;4.067742226430964281e-01;6.451007903044357616e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.043377882917512656e-01;7.447797438361740685e-01
1.503259674898955822e+01;3.662037266303482586e+00;3.539800715631053474e-01;4.100218379932083490e-01;6.778115537864530527e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.249668023621077095e-01;7.173673596340665037e-01
1.508161715389494262e+01;3.706961901283682081e+00;3.735958119004882949e-01;4.134151398618366446e-01;7.030341245019809671e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.992755039374960013e-01;7.397174594819188043e-01
1.513069987143118134e+01;3.751875475620077172e+00;3.933918721416387321e-01;4.169182823961310458e-01;7.208347708965215372e-02;1.000000000000000000e+00;0.000000000000000000e+00;9.269254040896437452e-01;7.173673596340665037e-01
1.517985042591499045e+01;3.796780488189837488e+00;4.133747861477495289e-01;4.204956554268416413e-01;7.312967467902280194e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.990890848544241809e-01;7.673673596340665481e-01
1.522907387726487549e+01;3.841679653158323493e+00;4.335493530062280998e-01;4.241119354264875074e-01;7.345180931951848791e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.890453398538777918e-01;7.294872953983005948e-01
1.527837479723864256e+01;3.886575899979078930e+00;4.539186370306994567e-01;4.277321294282114272e-01;7.306092899641181138e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.796174455498124711e-01;7.478957203294548384e-01
1.532775724506302417e+01;3.931472373393826381e+00;4.744839677610007689e-01;4.313216114059126860e-01;7.196907711506041194e-02;1.000000000000000000e+00;0.000000000000000000e+00;8.769254040896437008e-01;7.173673596340665037e-01
