# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
127.1; 20.134; 0.17378; 756.6; -0.0; 1619.9
130.2; 20.614; 0.15806; 766.4; -0.0; 1624.8
133.3; 21.085; 0.10671; 1452.5; -0.0; 1244.9
136.4; 21.535; 0.04994; 2066.6; -0.0; 707.0
139.5; 21.951; 0.00945; 2475.2; -0.0; 178.7
142.6; 22.332; -0.00979; 2486.6; -0.0; -158.3
145.7; 22.684; -0.01871; 0.8; -1501.6; -330.8
148.8; 23.032; -0.00708; 8.3; -2397.1; -131.7
151.9; 23.409; 0.00115; 8.1; -2470.1; -4.9
155.0; 23.827; -0.03504; 8.6; -2321.6; -157.1
158.1; 24.301; -0.21821; 26.3; -760.4; -1563.0
161.2; 24.848; -0.29518; 33.1; -603.5; -1679.2
164.3; 25.457; -0.26389; 777.0; -0.0; -1635.6
167.4; 26.076; -0.21118; 1123.6; -0.0; -1502.1
170.5; 26.645; -0.26953; 39.2; -509.9; -1680.0
173.6; 27.217; -0.24531; 0.0; -80.5; -1497.0
176.7; 27.819; -0.05975; 1445.2; -13.8; -831.6
179.8; 28.392; -0.22858; 17.4; -1151.5; -1374.9
182.9; 28.982; -0.48214; 10.3; -1941.5; -878.3
186.0; 29.756; -0.62687; 25.8; 0.0; -920.8
189.1; 30.744; -0.38438; 0.0; -173.0; -620.2
192.2; 31.814; 0.14405; 349.8; -0.0; -769.6
195.3; 32.928; 0.58121; 922.9; 0.0; 775.9
198.4; 33.974; 0.69074; 677.0; 0.0; 1298.6
201.5; 34.951; 0.45375; 1367.8; -0.0; 1506.7
204.6; 35.792; 0.14055; 1819.0; -0.0; 1296.1
207.7; 36.473; -0.04217; 2294.2; -0.1; 54.8
210.8; 37.036; -0.15675; 12.2; -1640.4; -648.7
213.9; 37.594; -0.28339; 13.8; -1453.7; -821.0
217.0; 38.257; -0.53161; 9.5; -2105.6; -573.5
220.1; 39.245; -0.84032; 605.1; 0.0; -788.0
223.2; 40.770; -0.60759; 1678.3; 0.0; -1247.9
226.3; 41.956; -0.18857; 1732.1; -0.0; -1398.5
229.4; 42.768; 0.15629; 1840.8; -0.0; 738.5
232.5; 43.424; 0.27380; 729.3; -0.0; 1613.6
235.6; 44.019; 0.24414; 763.9; -0.0; 1658.1
238.7; 44.588; 0.26708; 69.2; -0.0; 1780.3
241.8; 45.163; 0.24656; 619.7; -0.0; 1852.4
244.9; 45.740; 0.11727; 1678.7; -0.0; 1220.9
248.0; 46.272; -0.00024; 1701.5; -5.9; 190.0
251.1; 46.746; -0.02557; 8.4; -2371.8; -127.3
254.2; 47.240; 0.24805; 24.4; -818.9; 1568.9
257.3; 47.820; 0.38344; 30.2; -662.5; 1728.9
260.4; 48.477; 0.39021; 0.0; -432.2; 1542.5
263.5; 49.206; 0.28224; 1529.3; -0.0; 1407.8
266.6; 49.914; 0.16497; 1619.7; -0.0; 1295.2
269.7; 50.520; 0.17024; 1327.8; -0.0; 1246.1
272.8; 51.063; 0.11754; 1607.6; -0.0; 1163.4
275.9; 51.559; 0.07531; 1893.9; -0.0; 875.2
279.0; 52.011; 0.07052; 1827.0; -0.0; 897.7
282.1; 52.429; 0.07789; 1564.1; -0.0; 1115.1
285.2; 52.820; 0.10652; 0.1; -322.0; 1600.6
288.3; 53.206; 0.10793; 0.2; -299.8; 1745.1
291.4; 53.601; 0.09651; 493.3; -0.0; 1793.9
294.5; 54.003; 0.08094; 533.8; -0.0; 1771.9
297.6; 54.404; 0.04214; 1484.4; -0.0; 1092.6
300.7; 54.795; 0.02379; 2297.1; -0.0; 418.6
303.8; 55.161; 0.00181; 2557.2; -0.0; 51.8
306.9; 55.501; -0.00692; 2506.0; -0.0; -139.1
310.0; 55.820; 0.00019; 2591.8; -0.0; -5.1
313.1; 56.120; 0.04537; 708.8; -0.3; 1070.6
316.2; 56.412; 0.06686; 29.7; -672.1; 1704.4
319.3; 56.706; 0.05255; 494.4; -0.0; 1808.2
322.4; 57.003; 0.03720; 475.9; -0.0; 1807.7
325.5; 57.299; 0.01265; 547.2; -0.0; 1604.7
328.6; 57.595; -0.00745; 2226.0; -0.0; 447.9
331.7; 57.883; -0.00674; 2535.7; -0.0; -110.4
334.8; 58.159; -0.00386; 2532.4; -0.0; -119.7
337.9; 58.423; -0.00006; 12.2; -1092.0; -27.0
341.0; 58.685; 0.00264; 8.1; -2458.0; 66.5
