# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
189.1; 30.744; 3.04; -0.35672; -0.79651; -0.00446; 0.29868
192.2; 31.814; 2.77; -0.19171; -0.28932; -0.01693; 0.04231
195.3; 32.928; 2.82; 0.19941; 0.40690; -0.02653; -0.26241
198.4; 33.974; 3.19; 0.34391; 0.78659; -0.07649; -0.39810
201.5; 34.951; 3.34; 0.36896; 0.87276; -0.09587; -0.29997
204.6; 35.792; 4.10; 0.22535; 0.67303; -0.02896; -0.13085
207.7; 36.473; 5.01; 0.04607; 0.16934; -0.05733; -0.02644
210.8; 37.036; 5.97; -0.02868; -0.15757; -0.08589; 0.05584
213.9; 37.594; 5.11; -0.08454; -0.38903; -0.06080; 0.10255
217.0; 38.257; 4.17; -0.16065; -0.53419; -0.08264; 0.20248
220.1; 39.245; 2.20; -0.30135; -0.42482; 0.08910; 0.47812
223.2; 40.770; 2.10; -0.55150; -0.80926; 0.19509; 0.46964
226.3; 41.956; 3.32; -0.29065; -0.66482; 0.23610; 0.18764
229.4; 42.768; 4.35; -0.05207; -0.17468; 0.11096; -0.07558
232.5; 43.424; 5.16; 0.08476; 0.36511; -0.04641; -0.12398
235.6; 44.019; 5.33; 0.13120; 0.65073; -0.00788; -0.10284
238.7; 44.588; 5.58; 0.11204; 0.60251; -0.06457; -0.17693
241.8; 45.163; 5.44; 0.10672; 0.72872; -0.27883; -0.15195
244.9; 45.740; 5.56; 0.08002; 0.74552; -0.23544; 0.01880
248.0; 46.272; 6.21; 0.04751; 0.27405; 0.08898; 0.07271
251.1; 46.746; 6.79; -0.00423; -0.03346; 0.20929; -0.00982
254.2; 47.240; 5.76; -0.01341; -0.07565; -0.02892; -0.12173
257.3; 47.820; 5.13; 0.11658; 0.56322; -0.18073; -0.09170
260.4; 48.477; 4.50; 0.15988; 0.82991; 0.01038; -0.11994
263.5; 49.206; 3.96; 0.15453; 0.82146; 0.02429; -0.14025
266.6; 49.914; 4.76; 0.14167; 0.50960; 0.02330; -0.11829
269.7; 50.520; 5.47; 0.07501; 0.34335; -0.02271; -0.09196
272.8; 51.063; 5.96; 0.08126; 0.45174; -0.00175; -0.05483
275.9; 51.559; 6.53; 0.05011; 0.31990; 0.00933; -0.04589
279.0; 52.011; 7.16; 0.03030; 0.22703; -0.02623; -0.04151
282.1; 52.429; 7.71; 0.02692; 0.24146; -0.03813; -0.02282
285.2; 52.820; 8.13; 0.02652; 0.28945; -0.00245; -0.01552
288.3; 53.206; 7.93; 0.02670; 0.44685; 0.04513; -0.01597
291.4; 53.601; 7.71; 0.01496; 0.50665; 0.03702; -0.03303
294.5; 54.003; 7.75; 0.00176; 0.50663; -0.06372; -0.03909
297.6; 54.404; 7.79; -0.01067; 0.49126; -0.15436; 0.00482
300.7; 54.795; 8.16; 0.00436; 0.19233; -0.10627; 0.03737
303.8; 55.161; 8.79; 0.00716; 0.09094; 0.01585; 0.02933
306.9; 55.501; 9.43; 0.00016; 0.00605; 0.07939; 0.00821
310.0; 55.820; 10.03; -0.00181; -0.03124; 0.05814; -0.01890
313.1; 56.120; 10.60; 0.00021; 0.00067; -0.03516; -0.04124
316.2; 56.412; 10.70; 0.00705; 0.23143; -0.12573; -0.02785
319.3; 56.706; 10.46; -0.00206; 0.40182; -0.14344; 0.00936
322.4; 57.003; 10.48; -0.01907; 0.40207; -0.10285; 0.03769
325.5; 57.299; 10.49; -0.03329; 0.39435; -0.04333; 0.05595
328.6; 57.595; 10.52; -0.03745; 0.27556; 0.02784; 0.06646
331.7; 57.883; 10.97; -0.01275; 0.00422; 0.11743; 0.03675
334.8; 58.159; 11.48; -0.00219; -0.03169; 0.14060; -0.00799
337.9; 58.423; 11.97; -0.00024; -0.02160; 0.07029; -0.03204
341.0; 58.685; 11.68; 0.00047; -0.00253; -0.03297; -0.03166
344.1; 58.958; 11.08; 0.00039; 0.01496; -0.10088; -0.01088
