# x_r, y_r, x_l, y_l
2.150799111737785374e+00,4.064339659062929044e+00,3.042550569388388748e+00,-3.885803694221841909e+00
2.222396042164813679e+00,4.072623706554754364e+00,3.169627788616820929e+00,-3.871100358297542954e+00
2.293933394733290498e+00,4.081407388978030681e+00,3.296599263247724121e+00,-3.855510221537791438e+00
2.365407682813575718e+00,4.090690278228469978e+00,3.423458804870555205e+00,-3.839034043783861705e+00
2.436815422849702983e+00,4.100471921871145398e+00,3.550200230530226708e+00,-3.821672628061417498e+00
2.508153134529165662e+00,4.110751843162548269e+00,3.676817363028458630e+00,-3.803426820541357500e+00
2.579417340952537607e+00,4.121529541073815750e+00,3.803304031224842507e+00,-3.784297510498607409e+00
2.650604568802937600e+00,4.132804490315157508e+00,3.929654070337616822e+00,-3.764285630268744853e+00
2.721711348515309048e+00,4.144576141361453026e+00,4.055861322244128431e+00,-3.743392155202585059e+00
2.792734214445526941e+00,4.156843920479037280e+00,4.181919635780969813e+00,-3.721618103618627771e+00
2.863669705039303182e+00,4.169607229753662381e+00,4.307822867043784143e+00,-3.698964536753425847e+00
2.934514363000902293e+00,4.182865447119645808e+00,4.433564879686699989e+00,-3.675432558709861297e+00
3.005264735461640857e+00,4.196617926390173281e+00,4.559139545221418288e+00,-3.651023316403360752e+00
3.075917374148179562e+00,4.210863997288807781e+00,4.684540743315897871e+00,-3.625737999505943776e+00
3.146468835550585208e+00,4.225602965482151419e+00,4.809762362092660837e+00,-3.599577840388292316e+00
3.216915681090161794e+00,4.240834112613688589e+00,4.934798298426668950e+00,-3.572544114059652998e+00
3.287254477287043564e+00,4.256556696338797963e+00,5.059642458242783469e+00,-3.544638138105707270e+00
3.357481795927535373e+00,4.272769950360926217e+00,5.184288756812780896e+00,-3.515861272624356104e+00
3.427594214231208358e+00,4.289473084468950148e+00,5.308731119051929959e+00,-3.486214920159419250e+00
3.497588315017700289e+00,4.306665284575673880e+00,5.432963479815041907e+00,-3.455700525632298792e+00
3.567460686873291653e+00,4.324345712757521554e+00,5.556979784192129124e+00,-3.424319576271528831e+00
3.637207924317151786e+00,4.342513507295365116e+00,5.680773987803475755e+00,-3.392073601540310790e+00
3.706826627967326537e+00,4.361167782716531605e+00,5.804340057094243832e+00,-3.358964173061959713e+00
3.776313404706416410e+00,4.380307629837950856e+00,5.927671969628542037e+00,-3.324992904543314864e+00
3.845664867846954937e+00,4.399932115810480937e+00,6.050763714382948244e+00,-3.290161451696068440e+00
3.914877637296469537e+00,4.420040284164359790e+00,6.173609292039481389e+00,-3.254471512156101198e+00
3.983948339722221288e+00,4.440631154855829266e+00,6.296202715277994244e+00,-3.217924825400707789e+00
4.052873608715617415e+00,4.461703724314901365e+00,6.418538009067991545e+00,-3.180523172663846765e+00
4.121650084956288040e+00,4.483256965494270219e+00,6.540609210959845043e+00,-3.142268376849305156e+00
4.190274416375808997e+00,4.505289827919369827e+00,6.662410371375387719e+00,-3.103162302441859310e+00
4.258743258321080916e+00,4.527801237739565110e+00,6.783935553897901372e+00,-3.063206855416407137e+00
4.327053273717344162e+00,4.550790097780502919e+00,6.905178835561433637e+00,-3.022403983145068196e+00
4.395201133230818513e+00,4.574255287597576825e+00,7.026134307139484392e+00,-2.980755674302269398e+00
4.463183515430973358e+00,4.598195663530539434e+00,7.146796073433013596e+00,-2.938263958767834083e+00
4.530997106952408870e+00,4.622610058759242690e+00,7.267158253557759906e+00,-2.894930907528024733e+00
4.598638602656346386e+00,4.647497283360507936e+00,7.387214981230868283e+00,-2.850758632574624585e+00
4.666104705791711993e+00,4.672856124366116859e+00,7.506960405056809726e+00,-2.805749286801997755e+00
4.733392128155819556e+00,4.698685345821933979e+00,7.626388688812559380e+00,-2.759905063902163391e+00
4.800497590254631852e+00,4.724983688848150010e+00,7.745494011732056094e+00,-2.713228198257862545e+00
4.867417821462597161e+00,4.751749871700621242e+00,7.864270568789894611e+00,-2.665720964833678153e+00
4.934149560182056860e+00,4.778982589833359995e+00,7.982712570984251244e+00,-2.617385679065144188e+00
5.000689554002210713e+00,4.806680515962105105e+00,8.100814245619035958e+00,-2.568224696745900815e+00
5.067034559857634513e+00,4.834842300129011505e+00,8.218569836585244204e+00,-2.518240413912863573e+00
5.133181344186340311e+00,4.863466569768448267e+00,8.335973604641502277e+00,-2.467435266729467003e+00
5.199126683087377465e+00,4.892551929773897967e+00,8.453019827693779575e+00,-2.415811731366908077e+00
5.264867362477969159e+00,4.922096962565946754e+00,8.569702801074303267e+00,-2.363372323883471182e+00
5.330400178250140009e+00,4.952100228161375739e+00,8.686016837819558134e+00,-2.310119600101891990e+00
5.395721936426911114e+00,4.982560264243353743e+00,8.801956268947492390e+00,-2.256056155484802872e+00
5.460829453317934679e+00,5.013475586232688741e+00,8.917515443733794456e+00,-2.201184625008220763e+00
5.525719555674697858e+00,5.044844687360203750e+00,9.032688729987317089e+00,-2.145507683033130775e+00
5.590389080845155512e+00,5.076666038740167863e+00,9.147470514324574253e+00,-2.089028043175137128e+00
5.654834876927885112e+00,5.108938089444805541e+00,9.261855202443332047e+00,-2.031748458172199179e+00
5.719053802925708752e+00,5.141659266579896581e+00,9.375837219395265265e+00,-1.973671719750484499e+00
5.783042728898765361e+00,5.174827975361424137e+00,9.489411009857658286e+00,-1.914800658488292839e+00
5.846798536117083778e+00,5.208442599193324085e+00,9.602571038404210668e+00,-1.855138143678090046e+00
5.910318117212565170e+00,5.242501499746250460e+00,9.715311789774766282e+00,-1.794687083186680354e+00
5.973598376330439663e+00,5.277003017037438681e+00,9.827627769144161363e+00,-1.733450423313470878e+00
6.036636229280151866e+00,5.311945469511613283e+00,9.939513502390013855e+00,-1.671431148646863818e+00
