# x_m, y_m, w_tr_right_m, w_tr_left_m
4.075863138335570568e+00,3.341463511307959378e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.173454804786503658e+00,3.559607188540384604e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.270891800899128121e+00,3.784558691843502021e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.368169377712429302e+00,4.016307057353884491e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.465282794035294600e+00,4.254840989937284101e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.562227316677593514e+00,4.500148863739108496e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.658998220680871327e+00,4.752218722751102575e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.755590789548635122e+00,5.011038281394087912e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.852000315476226788e+00,5.276594925116632195e-01,4.000000000000000000e+00,4.000000000000000000e+00
4.948222099580283029e+00,5.548875711010051726e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.044251452127748614e+00,5.827867368439055840e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.140083692764444656e+00,6.113556299688613915e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.235714150743195461e+00,6.405928580626720770e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.331138165151459773e+00,6.704969961382996058e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.426351085138510832e+00,7.010665867043257560e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.521348270142104830e+00,7.323001398359781922e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.616125090114661766e+00,7.641961332477618107e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.710676925748924937e+00,7.967530123676416220e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.804999168703100842e+00,8.299691904128125852e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.899087221825463523e+00,8.638430484670469589e-01,4.000000000000000000e+00,4.000000000000000000e+00
5.992936499378419768e+00,8.983729355595823085e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.086542427262005006e+00,9.335571687456026835e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.179900443236820529e+00,9.693940331882568984e-01,4.000000000000000000e+00,4.000000000000000000e+00
6.273005997146395174e+00,1.005881782242234346e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.365854551138956374e+00,1.043018637538900339e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.458441579888592798e+00,1.080802789072965675e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.550762570815810371e+00,1.119232395290715720e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.642813024307488767e+00,1.158305583179749965e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.734588453936160235e+00,1.198020448360278545e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.826084386678696880e+00,1.238375055177942441e+00,4.000000000000000000e+00,4.000000000000000000e+00
6.917296363134306958e+00,1.279367436798146906e+00,4.000000000000000000e+00,4.000000000000000000e+00
7.008219937741880123e+00,1.320995595301928560e+00,4.000000000000000000e+00,4.000000000000000000e+00
